tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0586,1.0000,86.48
250,15,0.0835,1.0000,84.56
300,15,0.1054,1.0000,82.96
350,15,0.1245,1.0000,81.65
400,15,0.1564,1.0000,80.56
450,15,0.1695,1.0000,79.65
500,15,0.1811,1.0000,78.90
550,15,0.1911,1.0000,78.28
600,15,0.2112,1.0000,77.76
650,15,0.2231,1.0000,77.33
700,17,0.2077,1.0000,75.78
750,22,0.1341,1.0000,69.88
800,27,0.0706,1.0000,62.52
850,27,0.0743,1.0000,55.86
900,30,0.0477,1.0000,50.08
950,30,0.0676,1.0000,45.83
1000,30,0.1006,1.0000,43.09
1050,30,0.1222,1.0000,41.30
1100,30,0.1394,1.0000,40.13
1150,30,0.1618,1.0000,39.35
1200,30,0.1843,1.0000,38.83
1250,29,0.2057,1.0000,38.46
1300,23,0.2679,1.0000,40.15
1350,20,0.3296,1.0000,43.88
1400,19,0.3647,1.0000,47.50
1450,19,0.3712,1.0000,50.36
1500,19,0.3770,1.0000,52.48
1550,19,0.3848,1.0000,54.04
1600,19,0.3904,1.0000,55.19
1650,19,0.3938,1.0000,56.03
1700,19,0.3969,1.0000,56.65
1750,18,0.4233,1.0000,57.79
1800,18,0.4309,1.0000,58.70
1850,18,0.4323,1.0000,59.38
1900,21,0.3394,1.0000,58.83
1950,23,0.2784,1.0000,56.53
2000,26,0.1922,1.0000,53.66
2050,25,0.2091,1.0000,50.27
2100,26,0.1915,1.0000,48.37
2150,26,0.1666,1.0000,46.65
2200,18,0.2485,1.0000,49.60
2250,18,0.2913,1.0000,53.11
2300,18,0.3561,1.0000,55.33
2350,18,0.4276,1.0000,56.90
2400,18,0.5079,1.0000,57.96
2450,18,0.5582,1.0000,58.66
2500,18,0.6070,1.0000,59.09
2550,18,0.6463,1.0000,59.34
2600,18,0.6882,1.0000,59.46
2650,18,0.7129,1.0000,59.50
2700,18,0.7386,1.0000,59.48
2750,18,0.7594,1.0000,59.43
2800,18,0.7865,1.0000,59.36
2850,18,0.7989,1.0000,59.26
2900,19,0.7391,1.0000,59.17
2950,19,0.7464,1.0000,58.38
3000,20,0.6819,1.0000,57.37
3050,21,0.6274,1.0000,56.26
3100,22,0.5832,1.0000,54.39
3150,28,0.3220,1.0000,51.74
3200,30,0.2672,1.0000,47.01
3250,30,0.2902,1.0000,43.46
3300,32,0.3087,1.0000,40.89
3350,34,0.3121,1.0000,38.21
3400,35,0.3443,1.0000,35.72
3450,34,0.4040,1.0000,34.04
3500,34,0.4730,1.0000,33.36
3550,33,0.5474,1.0000,33.14
3600,33,0.6097,1.0000,33.03
3650,32,0.6716,1.0000,33.19
3700,32,0.7199,1.0000,33.30
3750,31,0.7777,1.0000,33.48
3800,31,0.8129,1.0000,33.76
3850,31,0.8364,1.0000,33.88
3900,31,0.8628,1.0000,33.91
3950,31,0.8813,1.0000,33.90
4000,31,0.9000,1.0000,33.87
4050,31,0.9123,1.0000,33.82
4100,31,0.9262,1.0000,33.78
4150,31,0.9360,1.0000,33.73
4200,31,0.9458,1.0000,33.69
4250,31,0.9523,1.0000,33.66
4300,31,0.9597,1.0000,33.63
4350,31,0.9649,1.0000,33.60
4400,31,0.9701,1.0000,33.57
4450,31,0.9735,1.0000,33.55
4500,31,0.9773,1.0000,33.54
4550,31,0.9799,1.0000,33.52
4600,32,0.9301,1.0000,33.43
4650,36,0.7472,1.0000,32.43
4700,36,0.7444,1.0000,31.16
4750,37,0.7139,1.0000,30.25
4800,42,0.5642,0.1831,28.42
4850,43,0.5580,0.1831,27.02
4900,43,0.5743,0.1831,26.12
4950,43,0.5570,0.2033,25.56
5000,45,0.4927,0.2033,25.40
5050,42,0.4606,0.2033,25.29
5100,41,0.5015,0.2033,25.78
5150,42,0.4959,0.2033,26.19
5200,42,0.5023,0.2033,25.84
5250,38,0.5656,0.2033,26.41
5300,37,0.5679,0.2039,27.46
5350,38,0.5718,0.2039,28.21
5400,37,0.6368,0.2039,28.33
5450,34,0.6974,0.2039,29.39
5500,36,0.6585,0.2175,29.83
5550,36,0.6929,0.2175,29.81
5600,35,0.7386,0.2175,29.95
5650,34,0.7757,0.2175,30.42
5700,34,0.8107,0.2175,30.73
5750,34,0.8374,0.2175,30.86
5800,34,0.8617,0.2175,30.90
5850,34,0.8800,0.2175,30.89
5900,34,0.8984,0.2175,30.86
5950,34,0.9124,0.2175,30.82
6000,34,0.9254,0.2175,30.78
6050,34,0.9350,0.2175,30.74
6100,34,0.9449,0.2175,30.70
6150,34,0.9524,0.2175,30.67
6200,34,0.9592,0.2175,30.64
6250,34,0.9643,0.2175,30.61
6300,34,0.9694,0.2175,30.59
6350,34,0.9734,0.2175,30.57
