tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0240,1.0000,88.79
200,15,0.0983,1.0000,86.42
250,15,0.1345,1.0000,84.42
300,15,0.1663,1.0000,82.74
350,15,0.1943,1.0000,81.34
400,15,0.2407,1.0000,80.16
450,15,0.2598,1.0000,79.17
500,15,0.2766,1.0000,78.34
550,15,0.2914,1.0000,77.65
600,15,0.3159,1.0000,77.07
650,15,0.3260,1.0000,76.58
700,16,0.2751,1.0000,75.64
750,22,0.1488,1.0000,71.89
800,26,0.0795,1.0000,64.80
850,28,0.0614,1.0000,57.48
900,30,0.0792,1.0000,50.80
950,30,0.1097,1.0000,46.21
1000,30,0.1638,1.0000,43.22
1050,30,0.1945,1.0000,41.26
1100,30,0.2239,1.0000,39.97
1150,30,0.2450,1.0000,39.10
1200,30,0.2753,1.0000,38.52
1250,30,0.2915,1.0000,38.11
1300,23,0.4005,1.0000,40.17
1350,21,0.4546,1.0000,43.18
1400,21,0.4774,1.0000,45.80
1450,21,0.4896,1.0000,47.65
1500,21,0.5013,1.0000,48.96
1550,19,0.5634,1.0000,50.05
1600,16,0.6849,1.0000,53.11
1650,16,0.6933,1.0000,56.32
1700,16,0.7014,1.0000,58.79
1750,16,0.7072,1.0000,60.68
1800,16,0.7156,1.0000,62.13
1850,16,0.7201,1.0000,63.24
1900,18,0.5663,1.0000,63.13
1950,21,0.4177,1.0000,61.64
2000,25,0.2991,1.0000,58.11
2050,27,0.2690,1.0000,53.01
2100,30,0.1969,1.0000,47.85
2150,32,0.1751,1.0000,43.53
2200,24,0.3105,1.0000,42.20
2250,24,0.3887,1.0000,43.54
2300,24,0.4669,1.0000,44.33
2350,24,0.5489,1.0000,44.73
2400,24,0.6211,1.0000,44.89
2450,24,0.6727,1.0000,44.90
2500,24,0.7187,1.0000,44.83
2550,24,0.7619,1.0000,44.70
2600,24,0.8000,1.0000,44.56
2650,24,0.8273,1.0000,44.41
2700,24,0.8515,1.0000,44.27
2750,24,0.8743,1.0000,44.13
2800,24,0.8944,1.0000,44.01
2850,24,0.9088,1.0000,43.90
2900,24,0.9216,1.0000,43.81
2950,24,0.9337,1.0000,43.73
3000,24,0.9443,1.0000,43.65
3050,24,0.9519,1.0000,43.59
3100,26,0.8314,1.0000,42.99
3150,26,0.8332,1.0000,42.16
3200,28,0.7345,1.0000,41.04
3250,29,0.6987,1.0000,39.85
3300,32,0.5849,1.0000,38.22
3350,34,0.5265,1.0000,36.25
3400,36,0.4847,1.0000,33.82
3450,36,0.5295,1.0000,32.32
3500,38,0.5179,1.0000,30.90
3550,39,0.5314,1.0000,29.86
3600,40,0.5586,1.0000,28.72
3650,42,0.5429,1.0000,27.84
3700,45,0.5023,1.0000,26.16
3750,41,0.5370,1.0000,25.38
3800,40,0.5671,1.0000,26.09
3850,40,0.5635,1.0000,26.49
3900,40,0.6087,1.0000,26.76
3950,35,0.6910,1.0000,28.06
4000,35,0.7381,1.0000,29.13
4050,34,0.7821,1.0000,29.82
4100,34,0.8150,1.0000,30.38
4150,33,0.8547,1.0000,30.79
4200,32,0.8880,1.0000,31.61
4250,32,0.9027,1.0000,32.07
4300,32,0.9168,1.0000,32.33
4350,32,0.9294,1.0000,32.46
4400,32,0.9409,1.0000,32.52
4450,32,0.9486,1.0000,32.54
4500,32,0.9561,1.0000,32.54
4550,32,0.9627,1.0000,32.53
4600,32,0.9688,1.0000,32.51
4650,32,0.9729,1.0000,32.50
4700,32,0.9768,1.0000,32.48
4750,32,0.9803,1.0000,32.47
4800,32,0.9835,1.0000,32.45
4850,33,0.9347,1.0000,32.35
4900,33,0.9356,1.0000,32.03
4950,34,0.8873,1.0000,31.75
5000,35,0.8483,1.0000,31.21
5050,36,0.8105,1.0000,30.40
5100,39,0.7019,1.0000,29.05
5150,41,0.6471,0.2275,27.78
5200,43,0.6115,0.2275,26.66
5250,42,0.6455,0.2275,25.99
5300,42,0.6050,0.2127,25.75
5350,40,0.6207,0.2127,26.06
5400,40,0.5980,0.2303,26.38
5450,40,0.5831,0.2303,26.60
5500,41,0.5841,0.2303,26.70
5550,38,0.6427,0.2303,26.76
5600,39,0.6536,0.2218,27.37
5650,37,0.6823,0.2218,27.68
5700,36,0.7208,0.2218,28.36
5750,37,0.6817,0.2218,28.75
5800,39,0.6110,0.2180,28.40
5850,40,0.6037,0.2184,27.85
5900,41,0.5766,0.2184,27.30
5950,41,0.5839,0.2184,27.06
6000,41,0.6283,0.2184,26.71
6050,38,0.6646,0.2184,26.92
6100,36,0.7180,0.2184,27.83
6150,36,0.7518,0.2184,28.61
6200,34,0.8104,0.2184,29.49
6250,33,0.8467,0.2184,30.31
6300,33,0.8696,0.2184,30.97
6350,33,0.8881,0.2184,31.32
