tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0040,1.0000,88.82
200,15,0.0259,1.0000,86.53
250,15,0.0387,1.0000,84.67
300,15,0.0501,1.0000,83.15
350,15,0.0601,1.0000,81.92
400,15,0.0766,1.0000,80.91
450,15,0.0834,1.0000,80.09
500,15,0.0894,1.0000,79.42
550,15,0.0947,1.0000,78.87
600,15,0.1034,1.0000,78.43
650,15,0.1070,1.0000,78.06
700,20,0.0826,1.0000,76.06
750,23,0.0736,1.0000,69.85
800,26,0.0425,1.0000,63.39
850,29,0.0150,1.0000,55.39
900,30,0.0147,1.0000,49.86
950,30,0.0220,1.0000,45.78
1000,30,0.0410,1.0000,43.15
1050,30,0.0551,1.0000,41.46
1100,30,0.0645,1.0000,40.35
1150,30,0.0728,1.0000,39.63
1200,30,0.0846,1.0000,39.16
1250,30,0.0921,1.0000,38.85
1300,23,0.1265,1.0000,41.13
1350,18,0.1689,1.0000,45.00
1400,17,0.1899,1.0000,49.54
1450,17,0.1968,1.0000,53.53
1500,17,0.2015,1.0000,56.59
1550,17,0.2055,1.0000,58.94
1600,17,0.2113,1.0000,60.74
1650,17,0.2150,1.0000,62.12
1700,17,0.2174,1.0000,63.17
1750,17,0.2196,1.0000,63.98
1800,17,0.2227,1.0000,64.60
1850,19,0.1641,1.0000,64.11
1900,22,0.1411,1.0000,62.22
1950,25,0.1261,1.0000,58.04
2000,28,0.0951,1.0000,53.45
2050,30,0.0724,1.0000,48.40
2100,31,0.0752,1.0000,44.32
2150,32,0.0649,1.0000,41.38
2200,22,0.1215,1.0000,40.53
2250,11,0.2936,1.0000,46.06
2300,9,0.4247,1.0000,55.80
2350,9,0.4872,1.0000,64.68
2400,9,0.5551,1.0000,72.31
2450,9,0.6052,1.0000,78.86
2500,9,0.6439,1.0000,84.47
2550,9,0.6769,1.0000,89.28
2600,9,0.7127,1.0000,93.39
2650,9,0.7392,1.0000,96.89
2700,10,0.6205,1.0000,99.35
2750,10,0.6317,1.0000,99.68
2800,11,0.5940,1.0000,99.62
2850,14,0.3392,1.0000,97.61
2900,15,0.2839,1.0000,92.96
2950,16,0.2531,1.0000,88.58
3000,18,0.2047,1.0000,83.24
3050,18,0.2543,1.0000,78.31
3100,18,0.3264,1.0000,74.44
3150,18,0.3943,1.0000,71.37
3200,18,0.4708,1.0000,68.90
3250,18,0.5350,1.0000,66.92
3300,18,0.5880,1.0000,65.32
3350,18,0.6278,1.0000,64.03
3400,18,0.6682,1.0000,63.00
3450,19,0.6302,1.0000,61.82
3500,19,0.6546,1.0000,60.50
3550,20,0.6116,1.0000,58.91
3600,20,0.6405,1.0000,57.58
3650,21,0.6091,1.0000,56.57
3700,25,0.4819,0.1067,54.12
3750,26,0.4523,0.1471,50.18
3800,30,0.3240,0.1471,45.71
3850,30,0.3518,0.1471,42.53
3900,30,0.4085,0.1471,40.46
3950,30,0.4676,0.1471,39.06
4000,32,0.4560,0.1471,37.68
4050,33,0.4609,0.1471,36.21
4100,32,0.4978,0.1471,35.24
4150,33,0.5027,0.1583,34.49
4200,34,0.5156,0.1583,33.76
4250,32,0.6015,0.1841,33.29
4300,32,0.6461,0.1841,33.47
4350,32,0.6926,0.1841,33.50
4400,32,0.7437,0.1841,33.45
4450,32,0.7806,0.1841,33.36
4500,32,0.8109,0.1841,33.25
4550,32,0.8378,0.1841,33.14
4600,32,0.8648,0.1841,33.04
4650,32,0.8842,0.1841,32.95
4700,32,0.9002,0.1841,32.86
4750,32,0.9144,0.1841,32.79
4800,33,0.8786,0.1841,32.45
4850,33,0.8875,0.1841,32.17
4900,33,0.8984,0.1841,31.99
4950,34,0.8641,0.1841,31.57
5000,34,0.8762,0.1841,31.28
5050,34,0.8916,0.1841,31.09
5100,34,0.9043,0.1841,30.96
5150,34,0.9203,0.1841,30.87
5200,34,0.9325,0.1841,30.80
5250,34,0.9423,0.1841,30.74
5300,35,0.9025,0.1841,30.55
5350,36,0.8650,0.1841,30.19
5400,38,0.7848,0.1841,29.35
5450,39,0.7565,0.1841,28.47
5500,41,0.6964,0.1841,27.54
5550,42,0.6863,0.2612,26.69
5600,43,0.6571,0.2612,25.71
5650,44,0.6035,0.2612,25.30
5700,45,0.5516,0.2912,24.70
5750,43,0.5864,0.2912,24.66
5800,42,0.6174,0.2912,24.93
5850,42,0.6341,0.2912,25.26
5900,39,0.7005,0.2912,25.81
5950,36,0.7692,0.2912,27.28
6000,38,0.7209,0.2912,27.81
6050,38,0.7201,0.2912,27.82
6100,39,0.6796,0.3358,27.72
6150,42,0.6008,0.3389,26.98
6200,43,0.5957,0.3389,26.14
6250,43,0.5831,0.3389,25.38
6300,43,0.5976,0.3389,25.03
6350,41,0.6524,0.3389,25.32
