tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0000,1.0000,88.82
200,15,0.0000,1.0000,86.56
250,15,0.0000,1.0000,84.75
300,15,0.0000,1.0000,83.31
350,15,0.0000,1.0000,82.16
400,15,0.0000,1.0000,81.24
450,15,0.0000,1.0000,80.50
500,15,0.0000,1.0000,79.92
550,15,0.0000,1.0000,79.45
600,15,0.0000,1.0000,79.07
650,15,0.0000,1.0000,78.77
700,19,0.0000,1.0000,77.09
750,21,0.0000,1.0000,72.38
800,27,0.0000,1.0000,64.12
850,29,0.0000,1.0000,56.32
900,30,0.0000,1.0000,50.26
950,30,0.0000,1.0000,46.07
1000,30,0.0000,1.0000,43.40
1050,30,0.0000,1.0000,41.70
1100,30,0.0000,1.0000,40.62
1150,30,0.0000,1.0000,39.93
1200,30,0.0000,1.0000,39.48
1250,30,0.0000,1.0000,39.20
1300,21,0.0000,1.0000,41.52
1350,18,0.0000,1.0000,46.21
1400,16,0.0000,1.0000,51.07
1450,15,0.0000,1.0000,56.08
1500,15,0.0000,1.0000,60.41
1550,15,0.0000,1.0000,63.87
1600,15,0.0000,1.0000,66.64
1650,15,0.0000,1.0000,68.85
1700,15,0.0000,1.0000,70.61
1750,15,0.0000,1.0000,72.02
1800,16,0.0000,1.0000,72.78
1850,19,0.0000,1.0000,72.02
1900,22,0.0000,1.0000,67.44
1950,25,0.0000,1.0000,62.25
2000,27,0.0000,1.0000,56.57
2050,28,0.0000,1.0000,51.53
2100,29,0.0000,1.0000,47.54
2150,29,0.0000,1.0000,44.90
2200,30,0.0000,1.0000,42.89
2250,30,0.0000,1.0000,41.38
2300,23,0.0000,1.0000,41.12
2350,18,0.0000,1.0000,44.78
2400,14,0.0000,1.0000,50.21
2450,11,0.0000,1.0000,57.90
2500,11,0.0000,1.0000,65.20
2550,11,0.0000,1.0000,71.39
2600,11,0.0000,1.0000,76.63
2650,11,0.0000,1.0000,81.08
2700,11,0.0000,1.0000,84.85
2750,11,0.0000,1.0000,88.05
2800,11,0.0000,1.0000,90.76
2850,13,0.0000,1.0000,91.36
2900,18,0.0000,1.0000,87.17
2950,19,0.0000,1.0000,81.34
3000,20,0.0000,1.0000,76.06
3050,21,0.0000,1.0000,70.69
3100,21,0.0000,1.0000,66.55
3150,22,0.0000,1.0000,63.01
3200,22,0.0000,1.0000,60.15
3250,22,0.0000,1.0000,58.10
3300,22,0.0000,1.0000,56.62
3350,22,0.0000,1.0000,55.56
3400,22,0.0000,1.0000,54.80
3450,22,0.0000,1.0000,54.25
3500,22,0.0000,1.0000,53.86
3550,22,0.0000,1.0000,53.57
3600,22,0.0000,1.0000,53.37
3650,22,0.0000,1.0000,53.22
3700,24,0.0000,1.0000,52.96
3750,24,0.0000,1.0000,51.59
3800,24,0.0000,1.0000,50.63
3850,25,0.0000,1.0000,49.95
3900,28,0.0000,0.0670,47.78
3950,30,0.0000,0.0524,45.14
4000,33,0.0000,0.0493,41.78
4050,36,0.0000,0.0446,38.63
4100,32,0.0000,0.0446,36.25
4150,30,0.0000,0.0463,36.17
4200,16,0.0000,0.0463,40.71
4250,12,0.0000,0.0463,49.34
4300,12,0.0000,0.0463,57.20
4350,13,0.0000,0.0509,63.14
4400,14,0.0000,0.0592,67.27
4450,14,0.0000,0.0592,70.28
4500,14,0.0000,0.0592,72.72
4550,14,0.0000,0.0592,74.69
4600,14,0.0000,0.0592,76.29
4650,14,0.0000,0.0592,77.59
4700,14,0.0000,0.0592,78.64
4750,14,0.0000,0.0592,79.50
4800,14,0.0000,0.0592,80.19
4850,14,0.0000,0.0592,80.75
4900,15,0.0000,0.0592,80.35
4950,15,0.0000,0.0592,79.80
5000,19,0.0000,0.0592,77.52
5050,22,0.0000,0.0618,72.83
5100,23,0.0000,0.0623,66.83
5150,25,0.0000,0.0732,60.92
5200,26,0.0000,0.0732,55.93
5250,26,0.0000,0.0732,52.30
5300,26,0.0000,0.0732,49.84
5350,28,0.0000,0.0748,47.30
5400,28,0.0000,0.0748,45.31
5450,28,0.0000,0.0748,44.00
5500,28,0.0000,0.0748,43.14
5550,28,0.0000,0.0748,42.57
5600,28,0.0000,0.0748,42.20
5650,28,0.0000,0.0748,41.95
5700,24,0.0000,0.0748,42.15
5750,19,0.0000,0.0748,45.57
5800,17,0.0000,0.0748,50.31
5850,15,0.0000,0.0748,55.31
5900,15,0.0000,0.0748,59.80
5950,15,0.0000,0.0748,63.39
6000,16,0.0000,0.0748,65.46
6050,17,0.0000,0.0764,66.50
6100,17,0.0000,0.0764,66.94
6150,18,0.0000,0.0766,66.91
6200,21,0.0000,0.0815,65.35
6250,22,0.0000,0.0821,62.37
6300,25,0.0000,0.0833,59.13
6350,27,0.0000,0.0843,54.50
