tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0680,1.0000,86.47
250,15,0.0997,1.0000,84.53
300,15,0.1275,1.0000,82.90
350,15,0.1520,1.0000,81.55
400,15,0.1925,1.0000,80.42
450,15,0.2013,1.0000,79.47
500,15,0.2169,1.0000,78.69
550,15,0.2306,1.0000,78.04
600,15,0.2454,1.0000,77.50
650,15,0.2556,1.0000,77.05
700,15,0.2646,1.0000,76.68
750,20,0.2045,1.0000,74.41
800,26,0.0890,1.0000,67.62
850,29,0.0559,1.0000,59.20
900,30,0.0395,1.0000,51.71
950,30,0.0602,1.0000,46.89
1000,30,0.0991,1.0000,43.77
1050,30,0.1287,1.0000,41.73
1100,30,0.1560,1.0000,40.38
1150,30,0.1835,1.0000,39.47
1200,30,0.2004,1.0000,38.87
1250,30,0.2135,1.0000,38.46
1300,25,0.2759,1.0000,39.25
1350,20,0.3680,1.0000,42.11
1400,20,0.3896,1.0000,45.75
1450,20,0.4036,1.0000,48.38
1500,20,0.4167,1.0000,50.28
1550,20,0.4292,1.0000,51.64
1600,19,0.4636,1.0000,52.82
1650,18,0.4911,1.0000,54.79
1700,17,0.5290,1.0000,56.89
1750,17,0.5374,1.0000,58.66
1800,17,0.5457,1.0000,59.99
1850,17,0.5508,1.0000,60.99
1900,17,0.5557,1.0000,61.75
1950,17,0.5601,1.0000,62.32
2000,18,0.4936,1.0000,62.45
2050,23,0.3869,1.0000,60.29
2100,28,0.2213,1.0000,54.91
2150,33,0.1062,1.0000,48.04
2200,34,0.0889,1.0000,42.41
2250,22,0.1892,1.0000,40.94
2300,20,0.2945,1.0000,44.92
2350,20,0.3905,1.0000,47.85
2400,20,0.4769,1.0000,49.85
2450,20,0.5581,1.0000,51.18
2500,20,0.6216,1.0000,52.03
2550,20,0.6694,1.0000,52.56
2600,20,0.7062,1.0000,52.88
2650,20,0.7515,1.0000,53.04
2700,20,0.7864,1.0000,53.09
2750,20,0.8159,1.0000,53.07
2800,20,0.8425,1.0000,53.01
2850,20,0.8664,1.0000,52.93
2900,20,0.8851,1.0000,52.84
2950,20,0.9008,1.0000,52.74
3000,20,0.9151,1.0000,52.65
3050,20,0.9278,1.0000,52.56
3100,20,0.9373,1.0000,52.48
3150,21,0.8672,1.0000,52.09
3200,21,0.8724,1.0000,51.51
3250,22,0.8104,1.0000,50.85
3300,26,0.5853,1.0000,48.69
3350,32,0.3468,1.0000,43.99
3400,34,0.3026,1.0000,40.20
3450,39,0.2170,1.0000,35.79
3500,39,0.2701,1.0000,32.66
3550,39,0.3497,1.0000,30.84
3600,40,0.4028,1.0000,29.64
3650,40,0.4853,1.0000,28.64
3700,39,0.5597,1.0000,28.03
3750,39,0.6205,1.0000,27.90
3800,38,0.6801,1.0000,27.76
3850,36,0.7336,1.0000,28.23
3900,35,0.7817,1.0000,28.85
3950,35,0.8137,1.0000,29.46
4000,35,0.8376,1.0000,29.76
4050,35,0.8606,1.0000,29.89
4100,35,0.8803,1.0000,29.94
4150,35,0.8977,1.0000,29.94
4200,35,0.9090,1.0000,29.92
4250,35,0.9185,1.0000,29.89
4300,35,0.9294,1.0000,29.86
4350,35,0.9392,1.0000,29.83
4400,35,0.9477,1.0000,29.80
4450,35,0.9548,1.0000,29.77
4500,35,0.9608,1.0000,29.75
4550,35,0.9661,1.0000,29.73
4600,35,0.9706,1.0000,29.71
4650,35,0.9744,1.0000,29.69
4700,35,0.9741,1.0000,29.68
4750,35,0.9743,1.0000,29.67
4800,35,0.9740,1.0000,29.67
4850,35,0.9770,1.0000,29.67
4900,36,0.9303,1.0000,29.63
4950,36,0.9320,1.0000,29.33
5000,36,0.9303,1.0000,29.17
5050,36,0.9338,1.0000,29.08
5100,37,0.8962,1.0000,28.84
5150,38,0.8591,1.0000,28.35
5200,41,0.7510,1.0000,27.58
5250,41,0.7305,1.0000,26.78
5300,44,0.6441,1.0000,26.05
5350,47,0.5790,1.0000,24.87
5400,47,0.5563,0.2637,23.82
5450,46,0.5524,0.2619,23.69
5500,51,0.4416,0.2651,23.21
5550,50,0.4162,0.2651,22.38
5600,50,0.3738,0.2651,22.27
5650,52,0.3762,0.2668,21.89
5700,46,0.4579,0.2668,22.21
5750,43,0.4884,0.2687,23.40
5800,39,0.5599,0.2687,24.86
5850,38,0.6000,0.2687,26.56
5900,37,0.6490,0.2687,27.71
5950,37,0.6957,0.2687,28.28
6000,35,0.7577,0.2687,29.09
6050,35,0.7906,0.2687,29.62
6100,35,0.8174,0.2687,29.88
6150,35,0.8406,0.2687,29.99
6200,34,0.8711,0.2687,30.31
6250,34,0.8884,0.2687,30.55
6300,34,0.9045,0.2687,30.65
6350,34,0.9185,0.2687,30.69
