tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0070,1.0000,88.81
200,15,0.0300,1.0000,86.52
250,15,0.0424,1.0000,84.65
300,15,0.0533,1.0000,83.13
350,15,0.0629,1.0000,81.90
400,15,0.0788,1.0000,80.89
450,15,0.0853,1.0000,80.07
500,15,0.0911,1.0000,79.40
550,15,0.0962,1.0000,78.85
600,15,0.1045,1.0000,78.41
650,15,0.1080,1.0000,78.04
700,19,0.0877,1.0000,76.43
750,22,0.0505,1.0000,70.54
800,26,0.0418,1.0000,63.36
850,30,0.0156,1.0000,56.34
900,30,0.0215,1.0000,49.91
950,30,0.0309,1.0000,45.80
1000,30,0.0462,1.0000,43.16
1050,30,0.0566,1.0000,41.45
1100,30,0.0679,1.0000,40.35
1150,30,0.0781,1.0000,39.62
1200,30,0.0873,1.0000,39.15
1250,30,0.0929,1.0000,38.84
1300,23,0.1289,1.0000,41.33
1350,18,0.1736,1.0000,44.91
1400,17,0.1925,1.0000,49.63
1450,17,0.1976,1.0000,53.59
1500,17,0.2031,1.0000,56.63
1550,17,0.2081,1.0000,58.97
1600,17,0.2127,1.0000,60.76
1650,17,0.2154,1.0000,62.13
1700,17,0.2183,1.0000,63.19
1750,17,0.2210,1.0000,63.99
1800,17,0.2234,1.0000,64.61
1850,17,0.2248,1.0000,65.08
1900,19,0.2025,1.0000,64.27
1950,25,0.1265,1.0000,60.73
2000,28,0.0869,1.0000,54.88
2050,31,0.0585,1.0000,49.55
2100,31,0.0669,1.0000,44.92
2150,33,0.0748,1.0000,41.32
2200,29,0.0815,1.0000,39.01
2250,14,0.2095,1.0000,44.40
2300,10,0.3500,1.0000,53.25
2350,9,0.4498,1.0000,62.44
2400,9,0.5350,1.0000,70.40
2450,9,0.5835,1.0000,77.23
2500,9,0.6230,1.0000,83.09
2550,9,0.6572,1.0000,88.11
2600,9,0.7021,1.0000,92.39
2650,9,0.7277,1.0000,96.05
2700,9,0.7486,1.0000,99.17
2750,9,0.7666,1.0000,99.71
2800,11,0.5852,1.0000,99.63
2850,12,0.4885,1.0000,99.48
2900,13,0.4122,1.0000,98.01
2950,16,0.2164,1.0000,93.25
3000,18,0.1363,1.0000,86.84
3050,18,0.1874,1.0000,81.21
3100,18,0.2657,1.0000,76.79
3150,18,0.3437,1.0000,73.26
3200,18,0.4346,1.0000,70.42
3250,18,0.4988,1.0000,68.13
3300,18,0.5570,1.0000,66.29
3350,18,0.6011,1.0000,64.82
3400,18,0.6492,1.0000,63.63
3450,18,0.6830,1.0000,62.67
3500,18,0.7137,1.0000,61.89
3550,19,0.6982,1.0000,60.63
3600,19,0.7222,1.0000,59.50
3650,21,0.6057,1.0000,58.13
3700,22,0.5574,1.0000,55.80
3750,24,0.4929,0.1264,52.96
3800,25,0.4744,0.1264,50.35
3850,28,0.3785,0.1591,47.22
3900,32,0.2715,0.1591,43.61
3950,33,0.2752,0.1757,40.05
4000,35,0.2707,0.1757,37.39
4050,35,0.3311,0.1757,35.13
4100,35,0.3970,0.1757,33.71
4150,34,0.4503,0.1757,33.22
4200,34,0.5161,0.1757,32.81
4250,34,0.5716,0.1757,32.48
4300,32,0.6645,0.2004,32.72
4350,32,0.7100,0.2004,33.03
4400,32,0.7556,0.2004,33.15
4450,32,0.7904,0.2004,33.16
4500,32,0.8229,0.2004,33.12
4550,32,0.8470,0.2004,33.05
4600,32,0.8710,0.2004,32.98
4650,32,0.8894,0.2004,32.90
4700,32,0.9065,0.2004,32.83
4750,32,0.9192,0.2004,32.77
4800,32,0.9319,0.2004,32.71
4850,32,0.9416,0.2004,32.66
4900,32,0.9507,0.2004,32.62
4950,32,0.9574,0.2004,32.58
5000,32,0.9641,0.2004,32.55
5050,32,0.9692,0.2004,32.53
5100,33,0.9224,0.2004,32.25
5150,33,0.9258,0.2004,31.99
5200,34,0.8839,0.2004,31.75
5250,34,0.8903,0.2004,31.35
5300,35,0.8521,0.2413,30.81
5350,36,0.8224,0.2413,30.18
5400,36,0.8386,0.2413,29.78
5450,38,0.7713,0.2413,29.32
5500,39,0.7490,0.2413,28.47
5550,43,0.6365,0.2413,27.47
5600,44,0.5658,0.2413,26.05
5650,43,0.5907,0.2413,25.53
5700,47,0.4882,0.2685,24.50
5750,47,0.4844,0.3006,23.82
5800,43,0.5198,0.3006,23.87
5850,41,0.5791,0.3006,24.92
5900,41,0.5606,0.3341,25.28
5950,39,0.5854,0.3341,26.10
6000,38,0.6372,0.3341,27.01
6050,37,0.6902,0.3341,27.75
6100,40,0.6250,0.3341,27.96
6150,39,0.6038,0.3341,27.31
6200,40,0.5992,0.3341,27.30
6250,39,0.6375,0.3341,27.46
6300,39,0.6918,0.3341,27.49
6350,38,0.7411,0.3341,27.50
