tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0491,1.0000,86.49
250,15,0.0672,1.0000,84.59
300,15,0.0832,1.0000,83.03
350,15,0.0972,1.0000,81.75
400,15,0.1204,1.0000,80.70
450,15,0.1299,1.0000,79.83
500,15,0.1383,1.0000,79.12
550,15,0.1457,1.0000,78.54
600,15,0.1580,1.0000,78.06
650,16,0.1528,1.0000,77.29
700,18,0.1050,1.0000,74.32
750,23,0.0290,1.0000,69.81
800,26,0.0300,1.0000,63.12
850,30,0.0369,1.0000,55.36
900,30,0.0555,1.0000,49.22
950,30,0.0752,1.0000,45.27
1000,30,0.0987,1.0000,42.73
1050,30,0.1108,1.0000,41.08
1100,30,0.1231,1.0000,40.01
1150,30,0.1342,1.0000,39.31
1200,30,0.1465,1.0000,38.86
1250,25,0.1835,1.0000,38.91
1300,21,0.2278,1.0000,42.48
1350,20,0.2479,1.0000,46.14
1400,19,0.2712,1.0000,49.38
1450,18,0.2919,1.0000,52.26
1500,18,0.2976,1.0000,54.74
1550,18,0.3028,1.0000,56.60
1600,18,0.3085,1.0000,58.00
1650,18,0.3115,1.0000,59.05
1700,18,0.3145,1.0000,59.84
1750,19,0.2634,1.0000,60.00
1800,19,0.2644,1.0000,59.83
1850,20,0.2571,1.0000,59.46
1900,21,0.2222,1.0000,58.17
1950,25,0.1388,1.0000,55.85
2000,28,0.1305,1.0000,51.98
2050,31,0.0886,1.0000,46.96
2100,32,0.1022,1.0000,42.59
2150,17,0.2473,1.0000,43.07
2200,13,0.4059,1.0000,49.97
2250,12,0.5159,1.0000,56.79
2300,12,0.5759,1.0000,62.76
2350,12,0.6511,1.0000,67.61
2400,12,0.7043,1.0000,71.52
2450,12,0.7445,1.0000,74.68
2500,12,0.7762,1.0000,77.21
2550,12,0.8159,1.0000,79.24
2600,13,0.7304,1.0000,80.79
2650,13,0.7436,1.0000,81.07
2700,14,0.6564,1.0000,80.88
2750,14,0.6799,1.0000,80.08
2800,15,0.6237,1.0000,79.37
2850,17,0.4979,1.0000,76.75
2900,17,0.5236,1.0000,73.84
2950,17,0.5600,1.0000,71.56
3000,22,0.3174,1.0000,67.98
3050,24,0.2731,1.0000,61.99
3100,24,0.3069,1.0000,57.27
3150,24,0.3764,1.0000,53.90
3200,24,0.4673,1.0000,51.44
3250,24,0.5494,1.0000,49.60
3300,24,0.6043,1.0000,48.21
3350,24,0.6663,1.0000,47.17
3400,24,0.7189,1.0000,46.37
3450,24,0.7622,1.0000,45.75
3500,24,0.7912,1.0000,45.27
3550,24,0.8239,1.0000,44.89
3600,24,0.8516,1.0000,44.60
3650,25,0.8115,1.0000,43.89
3700,26,0.7656,1.0000,42.88
3750,26,0.7836,1.0000,42.18
3800,27,0.7528,1.0000,41.29
3850,28,0.7289,1.0000,40.58
3900,28,0.7518,1.0000,39.66
3950,28,0.7759,1.0000,39.04
4000,28,0.8059,1.0000,38.61
4050,29,0.7857,1.0000,38.24
4100,32,0.6671,1.0000,37.29
4150,33,0.6356,1.0000,35.69
4200,34,0.6155,1.0000,34.25
4250,34,0.6485,1.0000,33.18
4300,37,0.5810,0.1546,32.12
4350,39,0.5448,0.1546,30.32
4400,39,0.5776,0.1546,29.17
4450,41,0.5618,0.1568,28.26
4500,44,0.5193,0.1561,26.82
4550,44,0.5539,0.1561,25.76
4600,38,0.6265,0.1561,25.77
4650,41,0.5457,0.1561,26.52
4700,40,0.5869,0.1561,26.64
4750,36,0.6578,0.1561,27.42
4800,36,0.7010,0.1561,28.47
4850,36,0.7439,0.1561,28.99
4900,35,0.7860,0.1561,29.22
4950,32,0.8577,0.1561,30.32
5000,32,0.8790,0.1561,31.36
5050,32,0.8962,0.1561,31.94
5100,32,0.9093,0.1561,32.26
5150,32,0.9249,0.1561,32.42
5200,32,0.9362,0.1561,32.50
5250,32,0.9452,0.1561,32.53
5300,33,0.9011,0.1561,32.34
5350,33,0.9081,0.1561,32.08
5400,33,0.9184,0.1561,31.91
5450,33,0.9280,0.1561,31.80
5500,33,0.9368,0.1561,31.72
5550,35,0.8508,0.1561,31.21
5600,35,0.8598,0.1561,30.70
5650,37,0.7828,0.1561,29.91
5700,37,0.7941,0.1561,29.33
5750,38,0.7756,0.1561,28.93
5800,39,0.7581,0.1561,28.24
5850,39,0.7782,0.1561,27.75
5900,38,0.7798,0.2008,27.72
5950,36,0.8181,0.2008,28.11
6000,39,0.7194,0.2008,28.25
6050,39,0.7088,0.2008,27.61
6100,39,0.6990,0.2008,27.52
6150,39,0.7235,0.2008,27.45
6200,41,0.6588,0.2008,27.17
6250,41,0.6608,0.2008,26.54
6300,38,0.7109,0.2008,26.88
6350,39,0.6760,0.2008,27.04
