tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0040,1.0000,88.82
200,15,0.0163,1.0000,86.54
250,15,0.0224,1.0000,84.70
300,15,0.0277,1.0000,83.21
350,15,0.0323,1.0000,82.02
400,15,0.0401,1.0000,81.06
450,15,0.0433,1.0000,80.28
500,15,0.0461,1.0000,79.65
550,15,0.0485,1.0000,79.14
600,15,0.0526,1.0000,78.73
650,16,0.0509,1.0000,78.00
700,18,0.0465,1.0000,75.29
750,24,0.0107,1.0000,69.74
800,28,0.0071,1.0000,61.63
850,28,0.0084,1.0000,54.70
900,30,0.0147,1.0000,49.50
950,30,0.0209,1.0000,45.56
1000,30,0.0286,1.0000,43.03
1050,30,0.0331,1.0000,41.40
1100,30,0.0392,1.0000,40.36
1150,30,0.0425,1.0000,39.69
1200,30,0.0465,1.0000,39.26
1250,28,0.0524,1.0000,39.00
1300,21,0.0745,1.0000,42.15
1350,19,0.0851,1.0000,46.61
1400,17,0.0989,1.0000,51.03
1450,17,0.1011,1.0000,54.80
1500,16,0.1106,1.0000,57.77
1550,16,0.1123,1.0000,60.79
1600,16,0.1144,1.0000,63.16
1650,16,0.1157,1.0000,65.01
1700,16,0.1174,1.0000,66.46
1750,16,0.1183,1.0000,67.60
1800,16,0.1194,1.0000,68.49
1850,17,0.1130,1.0000,69.04
1900,20,0.0968,1.0000,66.88
1950,24,0.0512,1.0000,62.35
2000,27,0.0446,1.0000,56.89
2050,30,0.0192,1.0000,50.58
2100,30,0.0256,1.0000,46.23
2150,30,0.0376,1.0000,43.44
2200,32,0.0467,1.0000,40.82
2250,25,0.0754,1.0000,39.85
2300,16,0.1363,1.0000,43.31
2350,8,0.3059,1.0000,53.30
2400,8,0.3345,1.0000,63.49
2450,8,0.3603,1.0000,72.46
2500,8,0.3799,1.0000,80.35
2550,8,0.3975,1.0000,87.29
2600,8,0.4126,1.0000,93.39
2650,8,0.4262,1.0000,98.75
2700,8,0.4365,1.0000,99.75
2750,8,0.4458,1.0000,99.75
2800,9,0.3283,1.0000,99.72
2850,13,0.2287,1.0000,99.14
2900,15,0.1152,1.0000,95.74
2950,16,0.0816,1.0000,91.13
3000,16,0.0943,1.0000,87.01
3050,16,0.1299,1.0000,83.71
3100,16,0.1891,1.0000,81.03
3150,16,0.2292,1.0000,78.83
3200,16,0.2656,1.0000,77.03
3250,16,0.3012,1.0000,75.55
3300,16,0.3359,1.0000,74.34
3350,16,0.3570,1.0000,73.34
3400,16,0.3763,1.0000,72.52
3450,16,0.3950,1.0000,71.85
3500,17,0.3890,1.0000,70.75
3550,18,0.3773,1.0000,68.94
3600,19,0.3660,1.0000,66.33
3650,22,0.2360,1.0000,63.21
3700,26,0.1720,0.1386,58.21
3750,28,0.1675,0.1428,52.68
3800,30,0.1318,0.1492,47.70
3850,31,0.1296,0.1492,43.99
3900,32,0.1365,0.1492,40.91
3950,32,0.1703,0.1492,38.86
4000,32,0.2151,0.1492,37.54
4050,32,0.2517,0.1492,36.66
4100,29,0.3190,0.1492,36.06
4150,26,0.3939,0.1492,37.86
4200,24,0.4646,0.1492,39.92
4250,24,0.4919,0.1492,41.78
4300,24,0.5181,0.1492,43.00
4350,19,0.6820,0.1750,45.81
4400,18,0.7465,0.1750,48.90
4450,17,0.8108,0.1750,51.94
4500,17,0.8303,0.1750,54.47
4550,17,0.8466,0.1750,56.35
4600,17,0.8615,0.1750,57.75
4650,17,0.8722,0.1750,58.79
4700,17,0.8825,0.1750,59.55
4750,17,0.8911,0.1750,60.11
4800,18,0.8490,0.1750,59.94
4850,18,0.8544,0.1750,59.60
4900,20,0.7034,0.1750,58.68
4950,21,0.6377,0.1750,56.96
5000,23,0.5275,0.1750,54.67
5050,29,0.2835,0.2101,50.26
5100,29,0.2986,0.2101,46.07
5150,29,0.3017,0.2101,43.46
5200,31,0.3061,0.2235,41.31
5250,32,0.3382,0.2235,39.02
5300,32,0.4114,0.2235,37.31
5350,32,0.4867,0.2235,36.15
5400,32,0.5592,0.2235,35.34
5450,32,0.6275,0.2235,34.73
5500,32,0.6797,0.2235,34.28
5550,32,0.7272,0.2235,33.94
5600,32,0.7672,0.2235,33.66
5650,32,0.8032,0.2235,33.45
5700,32,0.8308,0.2235,33.27
5750,32,0.8559,0.2235,33.13
5800,32,0.8770,0.2235,33.01
5850,32,0.8960,0.2235,32.91
5900,32,0.9106,0.2235,32.83
5950,32,0.9238,0.2235,32.76
6000,32,0.9349,0.2235,32.70
6050,32,0.9450,0.2235,32.65
6100,32,0.9527,0.2235,32.61
6150,32,0.9596,0.2235,32.57
6200,32,0.9655,0.2235,32.54
6250,32,0.9708,0.2235,32.52
6300,33,0.9244,0.2235,32.41
6350,33,0.9269,0.2235,32.08
