tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0080,1.0000,88.81
200,15,0.0367,1.0000,86.51
250,15,0.0543,1.0000,84.63
300,15,0.0717,1.0000,83.09
350,15,0.0871,1.0000,81.82
400,15,0.1124,1.0000,80.77
450,15,0.1228,1.0000,79.91
500,15,0.1320,1.0000,79.19
550,15,0.1402,1.0000,78.61
600,15,0.1536,1.0000,78.13
650,16,0.1492,1.0000,77.13
700,20,0.0644,1.0000,73.17
750,23,0.0545,1.0000,67.80
800,28,0.0264,1.0000,61.10
850,30,0.0335,1.0000,53.46
900,30,0.0434,1.0000,48.03
950,30,0.0552,1.0000,44.55
1000,30,0.0770,1.0000,42.31
1050,30,0.0898,1.0000,40.86
1100,30,0.0990,1.0000,39.91
1150,30,0.1071,1.0000,39.29
1200,30,0.1192,1.0000,38.89
1250,23,0.1643,1.0000,39.61
1300,21,0.1869,1.0000,43.20
1350,19,0.2133,1.0000,46.50
1400,18,0.2359,1.0000,49.84
1450,17,0.2560,1.0000,53.60
1500,17,0.2606,1.0000,56.56
1550,17,0.2645,1.0000,58.82
1600,17,0.2705,1.0000,60.55
1650,17,0.2739,1.0000,61.88
1700,17,0.2763,1.0000,62.89
1750,17,0.2783,1.0000,63.66
1800,17,0.2814,1.0000,64.25
1850,18,0.2674,1.0000,63.93
1900,22,0.1581,1.0000,62.12
1950,24,0.1140,1.0000,58.39
2000,29,0.0916,1.0000,53.09
2050,31,0.1003,1.0000,47.27
2100,34,0.0676,1.0000,43.09
2150,33,0.0831,1.0000,39.39
2200,14,0.2473,1.0000,42.75
2250,13,0.3312,1.0000,50.45
2300,11,0.4650,1.0000,57.90
2350,11,0.5181,1.0000,64.64
2400,11,0.5865,1.0000,70.22
2450,11,0.6337,1.0000,74.84
2500,11,0.6741,1.0000,78.64
2550,11,0.7022,1.0000,81.77
2600,11,0.7382,1.0000,84.34
2650,11,0.7632,1.0000,86.44
2700,11,0.7845,1.0000,88.16
2750,11,0.7993,1.0000,89.56
2800,11,0.8183,1.0000,90.71
2850,14,0.5589,1.0000,90.67
2900,17,0.3447,1.0000,87.15
2950,21,0.1479,1.0000,80.11
3000,21,0.1623,1.0000,73.05
3050,22,0.1813,1.0000,67.12
3100,22,0.2515,1.0000,62.65
3150,22,0.3193,1.0000,59.30
3200,22,0.4056,1.0000,56.76
3250,22,0.4788,1.0000,54.83
3300,22,0.5349,1.0000,53.35
3350,22,0.5742,1.0000,52.21
3400,22,0.6214,1.0000,51.34
3450,22,0.6600,1.0000,50.66
3500,22,0.6897,1.0000,50.12
3550,22,0.7104,1.0000,49.70
3600,22,0.7353,1.0000,49.37
3650,22,0.7557,1.0000,49.11
3700,22,0.7714,1.0000,48.89
3750,23,0.7483,1.0000,48.59
3800,25,0.6485,1.0000,47.83
3850,26,0.6014,1.0000,46.22
3900,27,0.5606,1.0000,44.16
3950,28,0.5267,0.0939,42.73
4000,31,0.4807,0.0810,40.25
4050,31,0.4899,0.0810,38.39
4100,31,0.4986,0.0924,37.14
4150,32,0.4506,0.0924,36.33
4200,35,0.3615,0.0924,35.29
4250,36,0.3572,0.1334,33.63
4300,36,0.4034,0.1334,32.42
4350,38,0.4013,0.1334,31.45
4400,38,0.4725,0.1334,30.33
4450,38,0.5397,0.1334,29.62
4500,38,0.6022,0.1334,29.13
4550,38,0.6572,0.1334,28.77
4600,38,0.7105,0.1334,28.50
4650,38,0.7526,0.1334,28.29
4700,35,0.8086,0.1334,28.62
4750,35,0.8346,0.1334,29.29
4800,35,0.8614,0.1334,29.63
4850,35,0.8813,0.1334,29.79
4900,35,0.8984,0.1334,29.86
4950,35,0.9120,0.1334,29.87
5000,35,0.9262,0.1334,29.86
5050,35,0.9367,0.1334,29.83
5100,35,0.9457,0.1334,29.80
5150,35,0.9530,0.1334,29.78
5200,35,0.9605,0.1334,29.75
5250,35,0.9661,0.1334,29.73
5300,35,0.9708,0.1334,29.71
5350,35,0.9747,0.1334,29.69
5400,35,0.9786,0.1334,29.68
5450,35,0.9815,0.1334,29.66
5500,36,0.9375,0.1334,29.53
5550,36,0.9385,0.1334,29.27
5600,36,0.9405,0.1334,29.12
5650,37,0.9021,0.1334,28.91
5700,37,0.9074,0.1334,28.61
5750,37,0.9136,0.1334,28.44
5800,39,0.8421,0.1334,28.21
5850,42,0.7077,0.1334,27.29
5900,44,0.6467,0.1994,26.24
5950,43,0.6694,0.1994,25.47
6000,45,0.6373,0.1994,25.14
6050,44,0.6847,0.1994,24.51
6100,40,0.7218,0.1994,25.16
6150,41,0.6577,0.2437,25.49
6200,42,0.6523,0.2437,25.67
6250,45,0.5423,0.2437,25.01
6300,50,0.4380,0.3301,24.02
6350,49,0.4737,0.3301,23.08
