tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0118,1.0000,88.80
200,15,0.0487,1.0000,86.49
250,15,0.0669,1.0000,84.59
300,15,0.0829,1.0000,83.03
350,15,0.0969,1.0000,81.75
400,15,0.1202,1.0000,80.70
450,15,0.1297,1.0000,79.83
500,15,0.1382,1.0000,79.13
550,15,0.1456,1.0000,78.54
600,15,0.1579,1.0000,78.06
650,16,0.1527,1.0000,77.51
700,20,0.0634,1.0000,73.61
750,23,0.0537,1.0000,68.09
800,26,0.0611,1.0000,61.27
850,29,0.0438,1.0000,54.91
900,30,0.0532,1.0000,49.08
950,30,0.0722,1.0000,45.19
1000,30,0.0917,1.0000,42.69
1050,30,0.1047,1.0000,41.07
1100,30,0.1188,1.0000,40.01
1150,30,0.1313,1.0000,39.32
1200,30,0.1428,1.0000,38.87
1250,26,0.1727,1.0000,38.90
1300,21,0.2245,1.0000,42.26
1350,19,0.2586,1.0000,45.89
1400,18,0.2831,1.0000,49.66
1450,18,0.2891,1.0000,52.79
1500,18,0.2956,1.0000,55.14
1550,18,0.3015,1.0000,56.91
1600,18,0.3068,1.0000,58.24
1650,18,0.3100,1.0000,59.23
1700,18,0.3134,1.0000,59.98
1750,18,0.3165,1.0000,60.54
1800,19,0.2653,1.0000,60.64
1850,19,0.2650,1.0000,60.31
1900,21,0.2133,1.0000,59.16
1950,26,0.1248,1.0000,56.05
2000,29,0.0940,1.0000,51.16
2050,30,0.1087,1.0000,46.56
2100,32,0.1238,1.0000,42.97
2150,20,0.2113,1.0000,42.54
2200,13,0.3969,1.0000,49.20
2250,12,0.4935,1.0000,56.24
2300,12,0.5570,1.0000,62.34
2350,12,0.6189,1.0000,67.30
2400,12,0.6831,1.0000,71.30
2450,12,0.7297,1.0000,74.52
2500,12,0.7662,1.0000,77.10
2550,12,0.7988,1.0000,79.17
2600,12,0.8328,1.0000,80.82
2650,12,0.8573,1.0000,82.13
2700,13,0.7542,1.0000,82.19
2750,13,0.7721,1.0000,82.16
2800,13,0.7973,1.0000,82.10
2850,15,0.6190,1.0000,81.04
2900,18,0.4199,1.0000,76.92
2950,20,0.3336,1.0000,72.16
3000,21,0.3248,1.0000,67.42
3050,23,0.2849,1.0000,62.62
3100,24,0.3016,1.0000,57.81
3150,24,0.3843,1.0000,54.28
3200,24,0.4627,1.0000,51.70
3250,24,0.5372,1.0000,49.78
3300,24,0.6058,1.0000,48.35
3350,24,0.6690,1.0000,47.26
3400,24,0.7157,1.0000,46.44
3450,24,0.7557,1.0000,45.80
3500,24,0.7920,1.0000,45.31
3550,24,0.8253,1.0000,44.92
3600,24,0.8500,1.0000,44.62
3650,24,0.8711,1.0000,44.37
3700,24,0.8902,1.0000,44.18
3750,25,0.8433,1.0000,43.82
3800,26,0.7940,1.0000,42.84
3850,26,0.8041,1.0000,42.12
3900,27,0.7743,1.0000,41.57
3950,27,0.7922,1.0000,40.77
4000,27,0.8147,1.0000,40.21
4050,28,0.7805,1.0000,39.53
4100,31,0.6617,0.1143,38.53
4150,34,0.5528,0.1143,36.53
4200,36,0.4974,0.1143,34.06
4250,39,0.4361,0.1143,31.90
4300,39,0.4850,0.1143,30.18
4350,41,0.4828,0.1237,28.73
4400,42,0.5111,0.1237,27.71
4450,42,0.5662,0.1237,26.83
4500,43,0.5906,0.1565,26.15
4550,35,0.6664,0.1565,27.08
4600,34,0.6913,0.1565,28.41
4650,36,0.6436,0.1565,29.27
4700,36,0.6435,0.1565,29.61
4750,36,0.6772,0.1565,29.71
4800,36,0.6841,0.1565,29.61
4850,36,0.7218,0.1565,29.65
4900,36,0.7595,0.1565,29.62
4950,35,0.7981,0.1565,29.82
5000,34,0.8356,0.1565,30.20
5050,33,0.8655,0.1565,30.77
5100,33,0.8892,0.1565,31.20
5150,33,0.9045,0.1565,31.43
5200,33,0.9178,0.1565,31.54
5250,33,0.9290,0.1565,31.58
5300,33,0.9415,0.1565,31.59
5350,33,0.9496,0.1565,31.58
5400,33,0.9566,0.1565,31.57
5450,33,0.9625,0.1565,31.55
5500,33,0.9691,0.1565,31.53
5550,34,0.9243,0.1565,31.38
5600,34,0.9268,0.1565,31.09
5650,36,0.8375,0.1565,30.51
5700,36,0.8452,0.1565,29.95
5750,36,0.8566,0.1565,29.63
5800,38,0.7856,0.1565,29.32
5850,40,0.7210,0.1565,28.30
5900,40,0.7198,0.1565,27.57
5950,39,0.7382,0.1565,27.40
6000,38,0.7732,0.1565,27.65
6050,38,0.8011,0.1565,27.75
6100,37,0.8129,0.1565,27.77
6150,35,0.8521,0.1565,28.62
6200,36,0.7921,0.1565,29.02
6250,38,0.7216,0.2463,28.76
6300,42,0.6013,0.2463,27.61
6350,44,0.5640,0.2637,26.20
