tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0040,1.0000,88.82
200,15,0.0164,1.0000,86.54
250,15,0.0224,1.0000,84.70
300,15,0.0277,1.0000,83.21
350,15,0.0324,1.0000,82.02
400,15,0.0401,1.0000,81.06
450,15,0.0433,1.0000,80.28
500,15,0.0461,1.0000,79.65
550,15,0.0486,1.0000,79.14
600,15,0.0527,1.0000,78.73
650,16,0.0509,1.0000,78.33
700,18,0.0140,1.0000,76.33
750,25,0.0088,1.0000,70.38
800,27,0.0086,1.0000,62.07
850,29,0.0122,1.0000,54.64
900,30,0.0208,1.0000,48.91
950,30,0.0283,1.0000,45.16
1000,30,0.0348,1.0000,42.76
1050,30,0.0386,1.0000,41.23
1100,30,0.0467,1.0000,40.24
1150,30,0.0521,1.0000,39.59
1200,30,0.0548,1.0000,39.18
1250,26,0.0649,1.0000,39.17
1300,20,0.0877,1.0000,42.28
1350,19,0.0931,1.0000,46.75
1400,18,0.1007,1.0000,50.66
1450,17,0.1079,1.0000,54.34
1500,17,0.1100,1.0000,57.35
1550,17,0.1105,1.0000,59.67
1600,17,0.1118,1.0000,61.46
1650,17,0.1125,1.0000,62.84
1700,17,0.1136,1.0000,63.91
1750,17,0.1139,1.0000,64.73
1800,18,0.1082,1.0000,64.99
1850,20,0.0619,1.0000,63.70
1900,23,0.0228,1.0000,61.07
1950,26,0.0258,1.0000,57.37
2000,29,0.0368,1.0000,51.85
2050,31,0.0487,1.0000,46.45
2100,33,0.0625,1.0000,42.31
2150,34,0.0731,1.0000,39.30
2200,16,0.1817,1.0000,41.76
2250,8,0.3947,1.0000,52.00
2300,8,0.4313,1.0000,62.27
2350,8,0.4591,1.0000,71.29
2400,8,0.4869,1.0000,79.21
2450,8,0.5035,1.0000,86.17
2500,8,0.5301,1.0000,92.26
2550,8,0.5431,1.0000,97.60
2600,8,0.5682,1.0000,99.74
2650,8,0.5750,1.0000,99.74
2700,10,0.3360,1.0000,99.69
2750,12,0.1623,1.0000,99.54
2800,15,0.0873,1.0000,96.11
2850,16,0.1072,1.0000,91.75
2900,16,0.1570,1.0000,87.38
2950,16,0.2212,1.0000,83.83
3000,16,0.2871,1.0000,80.92
3050,16,0.3315,1.0000,78.54
3100,16,0.3723,1.0000,76.60
3150,16,0.4119,1.0000,75.00
3200,16,0.4467,1.0000,73.70
3250,16,0.4701,1.0000,72.63
3300,16,0.4916,1.0000,71.76
3350,16,0.5125,1.0000,71.04
3400,16,0.5309,1.0000,70.45
3450,18,0.4127,1.0000,69.38
3500,19,0.3631,1.0000,67.27
3550,23,0.1957,1.0000,63.65
3600,27,0.1232,1.0000,57.57
3650,28,0.1530,1.0000,51.92
3700,30,0.1663,0.1092,47.08
3750,31,0.2199,0.1205,43.38
3800,32,0.2732,0.1205,40.68
3850,32,0.3293,0.1205,38.45
3900,32,0.3705,0.1205,37.02
3950,32,0.4075,0.1205,36.08
4000,29,0.4901,0.1205,35.67
4050,27,0.5596,0.1205,36.74
4100,26,0.6015,0.1205,38.22
4150,26,0.6257,0.1205,39.38
4200,21,0.8019,0.1355,40.98
4250,20,0.8663,0.1355,44.14
4300,20,0.8849,0.1355,46.53
4350,20,0.9016,0.1355,48.21
4400,20,0.9166,0.1355,49.40
4450,20,0.9294,0.1355,50.23
4500,20,0.9393,0.1355,50.81
4550,20,0.9480,0.1355,51.21
4600,20,0.9560,0.1355,51.48
4650,20,0.9628,0.1355,51.66
4700,21,0.8892,0.1355,51.68
4750,23,0.7518,0.1355,50.63
4800,23,0.7524,0.1355,49.28
4850,28,0.5001,0.1355,47.01
4900,30,0.4401,0.1355,43.59
4950,34,0.3317,0.1355,40.10
5000,35,0.3413,0.2077,37.05
5050,36,0.3807,0.2077,34.65
5100,39,0.3500,0.2430,32.23
5150,39,0.4170,0.2430,30.48
5200,40,0.4558,0.2430,29.27
5250,40,0.5258,0.2430,28.37
5300,40,0.5937,0.2430,27.79
5350,40,0.6480,0.2430,27.39
5400,37,0.7162,0.2430,27.22
5450,35,0.7699,0.2430,28.49
5500,34,0.8135,0.2430,29.45
5550,34,0.8402,0.2430,30.13
5600,34,0.8640,0.2430,30.48
5650,34,0.8853,0.2430,30.65
5700,34,0.9016,0.2430,30.72
5750,34,0.9157,0.2430,30.73
5800,34,0.9282,0.2430,30.73
5850,34,0.9395,0.2430,30.70
5900,34,0.9481,0.2430,30.68
5950,34,0.9555,0.2430,30.65
6000,34,0.9621,0.2430,30.62
6050,34,0.9681,0.2430,30.60
6100,34,0.9726,0.2430,30.58
6150,34,0.9765,0.2430,30.56
6200,34,0.9800,0.2430,30.55
6250,34,0.9831,0.2430,30.53
6300,34,0.9855,0.2430,30.52
6350,34,0.9876,0.2430,30.51
