tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0079,1.0000,88.81
200,15,0.0325,1.0000,86.51
250,15,0.0446,1.0000,84.64
300,15,0.0552,1.0000,83.12
350,15,0.0646,1.0000,81.88
400,15,0.0801,1.0000,80.88
450,15,0.0865,1.0000,80.06
500,15,0.0921,1.0000,79.39
550,15,0.0971,1.0000,78.84
600,15,0.1052,1.0000,78.40
650,18,0.0905,1.0000,77.33
700,23,0.0473,1.0000,71.14
750,24,0.0449,1.0000,64.39
800,27,0.0171,1.0000,57.83
850,30,0.0213,1.0000,51.22
900,30,0.0307,1.0000,46.63
950,30,0.0411,1.0000,43.69
1000,30,0.0565,1.0000,41.79
1050,30,0.0678,1.0000,40.56
1100,30,0.0780,1.0000,39.76
1150,30,0.0846,1.0000,39.24
1200,30,0.0928,1.0000,38.89
1250,24,0.1234,1.0000,40.58
1300,20,0.1562,1.0000,43.77
1350,17,0.1899,1.0000,48.60
1400,17,0.1975,1.0000,52.80
1450,17,0.2031,1.0000,56.02
1500,17,0.2081,1.0000,58.50
1550,17,0.2113,1.0000,60.40
1600,17,0.2154,1.0000,61.86
1650,17,0.2183,1.0000,62.97
1700,17,0.2209,1.0000,63.83
1750,17,0.2227,1.0000,64.48
1800,19,0.2011,1.0000,64.60
1850,20,0.1584,1.0000,63.26
1900,24,0.1016,1.0000,60.46
1950,27,0.0884,1.0000,55.39
2000,30,0.0384,1.0000,50.48
2050,31,0.0549,1.0000,45.72
2100,33,0.0654,1.0000,41.98
2150,32,0.0856,1.0000,38.83
2200,13,0.2806,1.0000,42.88
2250,8,0.5411,1.0000,52.42
2300,8,0.6031,1.0000,62.52
2350,8,0.6508,1.0000,71.34
2400,8,0.7128,1.0000,79.04
2450,8,0.7578,1.0000,85.74
2500,8,0.7905,1.0000,91.58
2550,8,0.8157,1.0000,96.66
2600,8,0.8484,1.0000,99.74
2650,8,0.8721,1.0000,99.74
2700,8,0.8894,1.0000,99.73
2750,9,0.7299,1.0000,99.71
2800,11,0.4824,1.0000,99.65
2850,13,0.3055,1.0000,98.20
2900,16,0.1401,1.0000,94.06
2950,16,0.1823,1.0000,89.13
3000,16,0.2651,1.0000,85.14
3050,16,0.3630,1.0000,81.82
3100,16,0.4546,1.0000,79.04
3150,16,0.5278,1.0000,76.70
3200,16,0.6030,1.0000,74.75
3250,16,0.6638,1.0000,73.12
3300,16,0.7122,1.0000,71.75
3350,16,0.7508,1.0000,70.62
3400,16,0.7905,1.0000,69.68
3450,16,0.8226,1.0000,68.90
3500,19,0.6180,1.0000,67.29
3550,19,0.6255,1.0000,64.56
3600,22,0.4611,0.1551,60.89
3650,24,0.4029,0.1629,57.09
3700,25,0.3974,0.1629,53.53
3750,26,0.4074,0.1629,50.29
3800,29,0.3495,0.1629,46.38
3850,31,0.3387,0.1629,42.81
3900,32,0.3654,0.1629,39.97
3950,32,0.4263,0.1629,37.85
4000,32,0.5006,0.1629,36.45
4050,32,0.5771,0.1629,35.48
4100,32,0.6403,0.1629,34.80
4150,32,0.6858,0.1629,34.31
4200,32,0.7341,0.1629,33.94
4250,32,0.7768,0.1629,33.65
4300,32,0.8102,0.1629,33.43
4350,32,0.8342,0.1629,33.25
4400,32,0.8597,0.1629,33.11
4450,32,0.8822,0.1629,32.99
4500,32,0.8998,0.1629,32.89
4550,32,0.9125,0.1629,32.81
4600,32,0.9259,0.1629,32.75
4650,32,0.9378,0.1629,32.69
4700,32,0.9471,0.1629,32.64
4750,32,0.9538,0.1629,32.60
4800,32,0.9609,0.1629,32.57
4850,33,0.9159,0.1629,32.23
4900,34,0.8713,0.1629,31.75
4950,34,0.8763,0.1629,31.38
5000,35,0.8407,0.1629,30.84
5050,35,0.8598,0.1629,30.50
5100,36,0.8309,0.1629,30.17
5150,38,0.7630,0.1629,29.62
5200,41,0.6651,0.1629,28.28
5250,42,0.6519,0.1629,27.16
5300,44,0.5558,0.2386,25.93
5350,43,0.5809,0.2386,25.35
5400,44,0.5718,0.2386,25.07
5450,42,0.5693,0.3206,25.42
5500,40,0.6219,0.3206,25.93
5550,38,0.6190,0.3206,26.73
5600,40,0.5881,0.3206,27.27
5650,38,0.6404,0.3206,27.48
5700,39,0.6116,0.3206,27.73
5750,39,0.6202,0.3206,27.71
5800,40,0.5674,0.3407,27.23
5850,41,0.5698,0.3407,27.05
5900,39,0.6248,0.3407,27.17
5950,40,0.6005,0.3617,27.24
6000,38,0.6639,0.3617,27.34
6050,37,0.6786,0.3617,27.72
6100,36,0.7195,0.3617,28.44
6150,35,0.7629,0.3617,29.19
6200,35,0.7969,0.3617,29.67
6250,34,0.8375,0.3617,30.06
6300,33,0.8756,0.3617,30.76
6350,33,0.8908,0.3617,31.19
