tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0491,1.0000,86.49
250,15,0.0672,1.0000,84.59
300,15,0.0831,1.0000,83.03
350,15,0.0972,1.0000,81.75
400,15,0.1204,1.0000,80.70
450,15,0.1299,1.0000,79.83
500,15,0.1383,1.0000,79.12
550,15,0.1457,1.0000,78.54
600,15,0.1580,1.0000,78.06
650,15,0.1630,1.0000,77.67
700,16,0.1204,1.0000,77.03
750,22,0.0334,1.0000,72.77
800,28,0.0225,1.0000,64.46
850,30,0.0302,1.0000,55.55
900,30,0.0474,1.0000,49.36
950,30,0.0681,1.0000,45.38
1000,30,0.0902,1.0000,42.81
1050,30,0.1054,1.0000,41.14
1100,30,0.1188,1.0000,40.06
1150,30,0.1304,1.0000,39.35
1200,30,0.1421,1.0000,38.89
1250,28,0.1608,1.0000,38.71
1300,21,0.2272,1.0000,42.01
1350,18,0.2748,1.0000,46.32
1400,18,0.2845,1.0000,50.27
1450,18,0.2960,1.0000,53.24
1500,18,0.3078,1.0000,55.47
1550,18,0.3117,1.0000,57.14
1600,18,0.3147,1.0000,58.39
1650,18,0.3175,1.0000,59.34
1700,18,0.3199,1.0000,60.05
1750,18,0.3219,1.0000,60.58
1800,19,0.2713,1.0000,60.91
1850,19,0.2687,1.0000,60.50
1900,21,0.2111,1.0000,59.57
1950,24,0.1293,1.0000,56.49
2000,28,0.0939,1.0000,52.12
2050,32,0.0799,1.0000,47.13
2100,34,0.0944,1.0000,41.98
2150,21,0.1993,1.0000,39.67
2200,14,0.3881,1.0000,45.94
2250,14,0.4568,1.0000,52.51
2300,14,0.5094,1.0000,57.70
2350,14,0.5573,1.0000,61.79
2400,14,0.6096,1.0000,64.99
2450,14,0.6459,1.0000,67.48
2500,14,0.6736,1.0000,69.42
2550,14,0.6989,1.0000,70.92
2600,14,0.7302,1.0000,72.06
2650,14,0.7489,1.0000,72.94
2700,14,0.7673,1.0000,73.61
2750,14,0.7798,1.0000,74.11
2800,14,0.7930,1.0000,74.49
2850,16,0.6219,1.0000,73.86
2900,21,0.3470,1.0000,71.05
2950,23,0.2837,1.0000,65.35
3000,25,0.2191,1.0000,59.66
3050,26,0.2307,1.0000,54.95
3100,28,0.2181,1.0000,50.67
3150,28,0.2754,1.0000,47.02
3200,28,0.3513,1.0000,44.52
3250,28,0.4292,1.0000,42.78
3300,28,0.4953,1.0000,41.53
3350,28,0.5559,1.0000,40.62
3400,28,0.6033,1.0000,39.95
3450,27,0.6720,1.0000,39.52
3500,27,0.7087,1.0000,39.59
3550,27,0.7379,1.0000,39.58
3600,27,0.7655,1.0000,39.53
3650,26,0.8164,1.0000,39.77
3700,26,0.8371,1.0000,40.07
3750,26,0.8549,1.0000,40.24
3800,25,0.8973,1.0000,40.52
3850,25,0.9133,1.0000,40.99
3900,25,0.9255,1.0000,41.28
3950,25,0.9313,1.0000,41.46
4000,25,0.9412,1.0000,41.57
4050,25,0.9465,1.0000,41.63
4100,25,0.9539,1.0000,41.66
4150,29,0.7269,1.0000,40.73
4200,30,0.6803,1.0000,39.25
4250,30,0.6882,1.0000,37.90
4300,31,0.6703,1.0000,36.78
4350,32,0.6571,0.1855,35.89
4400,38,0.4659,0.1855,33.60
4450,39,0.4642,0.1855,31.16
4500,41,0.4498,0.1855,29.36
4550,42,0.4737,0.1742,28.11
4600,43,0.4997,0.1818,26.85
4650,44,0.5321,0.1818,25.89
4700,38,0.5709,0.1818,25.53
4750,37,0.5249,0.1818,27.03
4800,39,0.5055,0.1818,27.80
4850,37,0.5557,0.1818,28.25
4900,36,0.6098,0.1818,28.79
4950,36,0.6631,0.1818,29.29
5000,35,0.7214,0.1818,29.75
5050,33,0.7762,0.1818,30.46
5100,32,0.8193,0.1818,31.44
5150,32,0.8463,0.1818,32.06
5200,32,0.8653,0.1818,32.40
5250,32,0.8845,0.1818,32.57
5300,32,0.9016,0.1818,32.64
5350,32,0.9125,0.1818,32.66
5400,32,0.9252,0.1818,32.66
5450,32,0.9362,0.1818,32.64
5500,32,0.9456,0.1818,32.61
5550,32,0.9535,0.1818,32.59
5600,32,0.9565,0.1818,32.56
5650,32,0.9631,0.1818,32.54
5700,32,0.9684,0.1818,32.52
5750,32,0.9692,0.1818,32.50
5800,32,0.9698,0.1818,32.49
5850,32,0.9712,0.1818,32.48
5900,32,0.9751,0.1818,32.48
5950,33,0.9230,0.1818,32.17
6000,34,0.8765,0.1818,31.63
6050,36,0.7916,0.1818,30.93
6100,38,0.7210,0.1818,29.96
6150,40,0.6640,0.2095,28.99
6200,41,0.6475,0.2095,27.74
6250,42,0.6488,0.2095,26.90
6300,43,0.5911,0.2095,25.94
6350,42,0.5955,0.2302,25.62
