tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0531,1.0000,86.49
250,15,0.0765,1.0000,84.57
300,15,0.0914,1.0000,83.00
350,15,0.1123,1.0000,81.70
400,15,0.1467,1.0000,80.62
450,15,0.1531,1.0000,79.72
500,15,0.1666,1.0000,78.99
550,15,0.1784,1.0000,78.37
600,15,0.1833,1.0000,77.87
650,16,0.1811,1.0000,77.44
700,18,0.1682,1.0000,75.06
750,25,0.0490,1.0000,68.86
800,27,0.0260,1.0000,60.64
850,28,0.0306,1.0000,54.68
900,30,0.0534,1.0000,49.23
950,30,0.0749,1.0000,45.28
1000,30,0.1055,1.0000,42.73
1050,30,0.1247,1.0000,41.06
1100,30,0.1438,1.0000,39.97
1150,30,0.1584,1.0000,39.25
1200,30,0.1782,1.0000,38.77
1250,26,0.2132,1.0000,38.74
1300,22,0.2695,1.0000,41.14
1350,20,0.2969,1.0000,44.62
1400,19,0.3331,1.0000,48.17
1450,19,0.3371,1.0000,50.91
1500,19,0.3435,1.0000,52.94
1550,19,0.3526,1.0000,54.43
1600,19,0.3479,1.0000,55.53
1650,19,0.3440,1.0000,56.36
1700,19,0.3544,1.0000,56.98
1750,19,0.3560,1.0000,57.42
1800,18,0.3839,1.0000,58.42
1850,19,0.3640,1.0000,59.06
1900,22,0.2661,1.0000,58.31
1950,25,0.2015,1.0000,55.25
2000,24,0.1603,1.0000,52.63
2050,27,0.1284,1.0000,49.75
2100,28,0.1185,1.0000,46.35
2150,19,0.2178,1.0000,46.37
2200,16,0.3228,1.0000,51.08
2250,16,0.3892,1.0000,55.22
2300,16,0.4596,1.0000,58.33
2350,16,0.5210,1.0000,60.65
2400,16,0.5873,1.0000,62.36
2450,16,0.6317,1.0000,63.59
2500,16,0.6756,1.0000,64.47
2550,16,0.7037,1.0000,65.08
2600,16,0.7289,1.0000,65.51
2650,16,0.7504,1.0000,65.81
2700,16,0.7837,1.0000,65.99
2750,16,0.8113,1.0000,66.07
2800,16,0.8304,1.0000,66.10
2850,16,0.8383,1.0000,66.09
2900,18,0.6999,1.0000,65.75
2950,18,0.7100,1.0000,64.18
3000,21,0.5152,1.0000,62.29
3050,25,0.3231,1.0000,58.12
3100,29,0.1982,1.0000,52.44
3150,30,0.1962,1.0000,47.14
3200,32,0.2118,1.0000,43.15
3250,32,0.2920,1.0000,40.05
3300,32,0.3829,1.0000,38.00
3350,32,0.4588,1.0000,36.62
3400,32,0.5281,1.0000,35.67
3450,32,0.5802,1.0000,35.00
3500,32,0.6424,1.0000,34.50
3550,32,0.6855,1.0000,34.13
3600,32,0.7259,1.0000,33.84
3650,32,0.7650,1.0000,33.61
3700,32,0.7882,1.0000,33.43
3750,32,0.8140,1.0000,33.28
3800,32,0.8311,1.0000,33.16
3850,32,0.8449,1.0000,33.07
3900,32,0.8592,1.0000,33.00
3950,32,0.8705,1.0000,32.94
4000,32,0.8865,1.0000,32.88
4050,32,0.8958,1.0000,32.82
4100,32,0.9056,1.0000,32.78
4150,32,0.9073,1.0000,32.75
4200,32,0.9101,1.0000,32.72
4250,32,0.9129,1.0000,32.71
4300,32,0.9238,1.0000,32.69
4350,33,0.8694,1.0000,32.34
4400,34,0.8347,1.0000,32.04
4450,34,0.8343,1.0000,31.60
4500,35,0.8090,1.0000,31.29
4550,36,0.7761,1.0000,30.71
4600,37,0.7253,1.0000,30.13
4650,38,0.6942,1.0000,29.40
4700,43,0.5220,1.0000,27.94
4750,42,0.5413,1.0000,26.84
4800,46,0.4698,1.0000,25.55
4850,45,0.4785,1.0000,24.70
4900,45,0.4533,0.2182,24.40
4950,42,0.4027,0.2318,24.90
5000,41,0.4566,0.2318,25.57
5050,40,0.4585,0.2321,26.56
5100,40,0.4867,0.2417,26.98
5150,37,0.5532,0.2417,27.76
5200,35,0.5827,0.2417,28.74
5250,35,0.5624,0.2417,29.84
5300,35,0.5818,0.2417,30.58
5350,34,0.6196,0.2417,30.97
5400,34,0.6549,0.2417,31.27
5450,34,0.6855,0.2417,31.40
5500,32,0.7661,0.2417,31.87
5550,32,0.7918,0.2417,32.39
5600,32,0.8199,0.2417,32.67
5650,32,0.8435,0.2417,32.79
5700,32,0.8603,0.2417,32.83
5750,32,0.8799,0.2417,32.83
5800,32,0.8913,0.2417,32.81
5850,32,0.9015,0.2417,32.78
5900,32,0.9122,0.2417,32.74
5950,32,0.9210,0.2417,32.71
6000,32,0.9291,0.2417,32.68
6050,32,0.9377,0.2417,32.65
6100,32,0.9428,0.2417,32.62
6150,32,0.9471,0.2417,32.60
6200,32,0.9477,0.2417,32.58
6250,32,0.9502,0.2417,32.57
6300,32,0.9570,0.2417,32.55
6350,33,0.9053,0.2417,32.43
