tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0490,1.0000,86.49
250,15,0.0671,1.0000,84.59
300,15,0.0830,1.0000,83.03
350,15,0.1009,1.0000,81.74
400,15,0.1284,1.0000,80.68
450,15,0.1370,1.0000,79.80
500,15,0.1446,1.0000,79.09
550,15,0.1512,1.0000,78.50
600,15,0.1769,1.0000,78.01
650,15,0.1797,1.0000,77.59
700,16,0.1611,1.0000,76.75
750,19,0.1383,1.0000,74.95
800,26,0.0525,1.0000,66.72
850,28,0.0254,1.0000,58.42
900,30,0.0299,1.0000,52.03
950,30,0.0450,1.0000,47.12
1000,30,0.0746,1.0000,43.95
1050,30,0.0923,1.0000,41.90
1100,30,0.1080,1.0000,40.56
1150,30,0.1242,1.0000,39.68
1200,30,0.1521,1.0000,39.09
1250,30,0.1630,1.0000,38.69
1300,25,0.2020,1.0000,39.50
1350,19,0.2738,1.0000,43.66
1400,19,0.2948,1.0000,47.63
1450,19,0.3086,1.0000,50.56
1500,19,0.3095,1.0000,52.72
1550,19,0.3113,1.0000,54.33
1600,19,0.3226,1.0000,55.53
1650,19,0.3285,1.0000,56.40
1700,19,0.3330,1.0000,57.03
1750,19,0.3359,1.0000,57.50
1800,20,0.3080,1.0000,57.43
1850,20,0.3073,1.0000,57.07
1900,21,0.2824,1.0000,56.57
1950,22,0.2395,1.0000,55.65
2000,24,0.1930,1.0000,53.48
2050,24,0.2006,1.0000,51.28
2100,26,0.1696,1.0000,48.95
2150,24,0.1781,1.0000,46.99
2200,16,0.2793,1.0000,50.53
2250,16,0.2901,1.0000,54.53
2300,16,0.3474,1.0000,57.95
2350,16,0.4176,1.0000,60.51
2400,16,0.4979,1.0000,62.40
2450,16,0.5542,1.0000,63.76
2500,16,0.5977,1.0000,64.72
2550,16,0.6323,1.0000,65.40
2600,16,0.6808,1.0000,65.86
2650,16,0.7111,1.0000,66.15
2700,16,0.7255,1.0000,66.33
2750,16,0.7545,1.0000,66.43
2800,17,0.7119,1.0000,65.83
2850,18,0.6622,1.0000,65.09
2900,21,0.5061,1.0000,62.70
2950,22,0.4539,1.0000,59.52
3000,23,0.4203,1.0000,56.50
3050,24,0.4076,1.0000,53.44
3100,25,0.3993,1.0000,51.11
3150,26,0.4135,1.0000,48.81
3200,26,0.4534,1.0000,46.67
3250,30,0.3334,1.0000,43.93
3300,31,0.3369,1.0000,41.09
3350,32,0.3569,1.0000,39.05
3400,32,0.4104,1.0000,37.33
3450,32,0.4695,1.0000,36.19
3500,32,0.5270,1.0000,35.40
3550,32,0.5944,1.0000,34.82
3600,32,0.6428,1.0000,34.39
3650,31,0.6984,1.0000,34.17
3700,31,0.7259,1.0000,34.29
3750,31,0.7600,1.0000,34.32
3800,31,0.7858,1.0000,34.30
3850,31,0.8014,1.0000,34.25
3900,31,0.8210,1.0000,34.19
3950,31,0.8378,1.0000,34.14
4000,31,0.8559,1.0000,34.08
4050,31,0.8614,1.0000,34.02
4100,32,0.8345,1.0000,33.77
4150,32,0.8425,1.0000,33.43
4200,32,0.8529,1.0000,33.22
4250,30,0.9025,1.0000,33.69
4300,30,0.8818,1.0000,34.16
4350,33,0.7442,1.0000,34.08
4400,35,0.6777,1.0000,32.92
4450,35,0.6878,1.0000,31.93
4500,37,0.6394,1.0000,30.98
4550,36,0.6587,1.0000,30.42
4600,38,0.6101,1.0000,29.83
4650,37,0.6514,1.0000,29.41
4700,39,0.6183,1.0000,28.83
4750,39,0.6578,1.0000,28.25
4800,39,0.7018,1.0000,27.89
4850,39,0.6737,1.0000,27.86
4900,39,0.6416,1.0000,27.86
4950,38,0.6780,1.0000,28.02
5000,36,0.7201,1.0000,28.52
5050,38,0.6825,1.0000,28.72
5100,41,0.6050,0.2486,27.91
5150,40,0.6383,0.2486,27.35
5200,37,0.6903,0.2486,27.78
5250,39,0.6546,0.2486,27.94
5300,43,0.5607,0.2528,27.21
5350,41,0.5692,0.2408,26.41
5400,39,0.6110,0.2408,26.92
5450,39,0.6569,0.2408,27.25
5500,38,0.7081,0.2408,27.48
5550,37,0.7590,0.2408,27.97
5600,32,0.8549,0.2408,29.55
5650,32,0.8730,0.2408,30.91
5700,32,0.8904,0.2408,31.68
5750,32,0.9080,0.2408,32.11
5800,32,0.9225,0.2408,32.34
5850,32,0.9322,0.2408,32.46
5900,32,0.9414,0.2408,32.51
5950,32,0.9507,0.2408,32.53
6000,32,0.9581,0.2408,32.53
6050,32,0.9632,0.2408,32.52
6100,32,0.9681,0.2408,32.51
6150,33,0.9215,0.2408,32.17
6200,34,0.8757,0.2408,31.78
6250,35,0.8339,0.2408,31.11
6300,35,0.8429,0.2408,30.67
6350,37,0.7794,0.2408,30.07
