tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0080,1.0000,88.81
200,15,0.0327,1.0000,86.51
250,15,0.0448,1.0000,84.64
300,15,0.0554,1.0000,83.12
350,15,0.0648,1.0000,81.88
400,15,0.0802,1.0000,80.88
450,15,0.0866,1.0000,80.06
500,15,0.0922,1.0000,79.39
550,15,0.0972,1.0000,78.84
600,15,0.1053,1.0000,78.40
650,15,0.1087,1.0000,78.03
700,18,0.0930,1.0000,76.90
750,23,0.0224,1.0000,71.43
800,26,0.0153,1.0000,63.53
850,29,0.0183,1.0000,55.91
900,29,0.0273,1.0000,50.26
950,30,0.0413,1.0000,46.23
1000,30,0.0567,1.0000,43.41
1050,30,0.0682,1.0000,41.59
1100,30,0.0760,1.0000,40.42
1150,30,0.0847,1.0000,39.66
1200,30,0.0929,1.0000,39.16
1250,30,0.0990,1.0000,38.83
1300,23,0.1345,1.0000,41.09
1350,18,0.1795,1.0000,45.07
1400,17,0.1976,1.0000,49.69
1450,17,0.2033,1.0000,53.63
1500,17,0.2071,1.0000,56.66
1550,17,0.2114,1.0000,58.98
1600,17,0.2154,1.0000,60.77
1650,17,0.2184,1.0000,62.13
1700,17,0.2204,1.0000,63.18
1750,17,0.2227,1.0000,63.98
1800,17,0.2248,1.0000,64.60
1850,18,0.1745,1.0000,64.86
1900,19,0.1644,1.0000,63.90
1950,25,0.0711,1.0000,61.00
2000,26,0.0726,1.0000,56.10
2050,33,0.0481,1.0000,49.87
2100,33,0.0596,1.0000,44.01
2150,33,0.0786,1.0000,40.42
2200,25,0.1323,1.0000,39.09
2250,13,0.3117,1.0000,45.17
2300,10,0.4525,1.0000,54.27
2350,10,0.5035,1.0000,62.47
2400,10,0.5505,1.0000,69.41
2450,10,0.5916,1.0000,75.27
2500,10,0.6166,1.0000,80.23
2550,10,0.6435,1.0000,84.40
2600,10,0.6683,1.0000,87.92
2650,10,0.6900,1.0000,90.89
2700,10,0.7032,1.0000,93.38
2750,10,0.7174,1.0000,95.47
2800,12,0.4961,1.0000,95.84
2850,14,0.4253,1.0000,94.46
2900,18,0.1932,1.0000,89.15
2950,19,0.1580,1.0000,82.55
3000,20,0.1526,1.0000,75.92
3050,20,0.2105,1.0000,70.91
3100,20,0.2763,1.0000,67.08
3150,20,0.3512,1.0000,64.11
3200,20,0.4230,1.0000,61.80
3250,20,0.4814,1.0000,60.00
3300,20,0.5227,1.0000,58.59
3350,20,0.5631,1.0000,57.49
3400,20,0.6011,1.0000,56.62
3450,20,0.6319,1.0000,55.94
3500,20,0.6537,1.0000,55.39
3550,20,0.6750,1.0000,54.96
3600,20,0.6950,1.0000,54.61
3650,20,0.7113,1.0000,54.34
3700,20,0.7228,1.0000,54.11
3750,22,0.6054,1.0000,53.43
3800,25,0.4797,1.0000,51.30
3850,28,0.3931,0.1147,48.76
3900,31,0.3104,0.1147,44.84
3950,33,0.3112,0.1014,41.07
4000,36,0.2647,0.1014,37.48
4050,37,0.2833,0.1014,34.66
4100,37,0.3127,0.1014,32.69
4150,36,0.3524,0.1154,31.90
4200,35,0.4263,0.1154,31.76
4250,34,0.4754,0.1154,32.00
4300,32,0.5643,0.1317,32.67
4350,32,0.6191,0.1317,33.14
4400,32,0.6776,0.1317,33.34
4450,32,0.7246,0.1317,33.38
4500,32,0.7635,0.1317,33.34
4550,32,0.7979,0.1317,33.26
4600,32,0.8298,0.1317,33.17
4650,32,0.8547,0.1317,33.07
4700,32,0.8752,0.1317,32.98
4750,32,0.8933,0.1317,32.89
4800,32,0.9102,0.1317,32.82
4850,32,0.9233,0.1317,32.76
4900,32,0.9341,0.1317,32.70
4950,32,0.9437,0.1317,32.65
5000,32,0.9526,0.1317,32.61
5050,32,0.9595,0.1317,32.58
5100,32,0.9652,0.1317,32.54
5150,32,0.9703,0.1317,32.52
5200,32,0.9750,0.1317,32.50
5250,34,0.8793,0.1317,32.27
5300,35,0.8341,0.1317,31.43
5350,35,0.8356,0.1317,30.86
5400,35,0.8505,0.1317,30.52
5450,35,0.8711,0.1317,30.31
5500,35,0.8888,0.1317,30.16
5550,36,0.8602,0.1983,29.96
5600,39,0.7519,0.1983,29.37
5650,39,0.7612,0.1983,28.37
5700,41,0.7041,0.1983,27.52
5750,41,0.6884,0.1983,26.85
5800,45,0.5920,0.2679,25.81
5850,42,0.6272,0.2679,25.13
5900,41,0.6381,0.2679,25.56
5950,43,0.5625,0.2859,25.58
6000,45,0.5153,0.2859,25.30
6050,44,0.4784,0.2859,24.96
6100,44,0.5124,0.2859,24.91
6150,43,0.5458,0.2859,24.96
6200,44,0.4975,0.3223,24.72
6250,41,0.5589,0.3223,25.24
6300,38,0.6208,0.3223,26.50
6350,39,0.6330,0.3223,27.33
