tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0491,1.0000,86.49
250,15,0.0672,1.0000,84.59
300,15,0.0832,1.0000,83.03
350,15,0.0972,1.0000,81.75
400,15,0.1204,1.0000,80.70
450,15,0.1299,1.0000,79.83
500,15,0.1383,1.0000,79.12
550,15,0.1457,1.0000,78.54
600,15,0.1580,1.0000,78.06
650,15,0.1630,1.0000,77.67
700,18,0.1395,1.0000,75.95
750,26,0.0283,1.0000,70.21
800,28,0.0225,1.0000,60.77
850,29,0.0305,1.0000,53.60
900,30,0.0467,1.0000,48.39
950,30,0.0681,1.0000,44.76
1000,30,0.0902,1.0000,42.42
1050,30,0.1057,1.0000,40.89
1100,30,0.1191,1.0000,39.90
1150,30,0.1304,1.0000,39.25
1200,30,0.1421,1.0000,38.82
1250,26,0.1734,1.0000,39.02
1300,21,0.2247,1.0000,42.72
1350,19,0.2578,1.0000,46.70
1400,18,0.2824,1.0000,50.49
1450,18,0.2896,1.0000,53.41
1500,18,0.2958,1.0000,55.61
1550,18,0.3010,1.0000,57.27
1600,18,0.3064,1.0000,58.51
1650,18,0.3102,1.0000,59.44
1700,18,0.3135,1.0000,60.13
1750,18,0.3163,1.0000,60.66
1800,19,0.2672,1.0000,60.80
1850,20,0.2536,1.0000,60.33
1900,22,0.1994,1.0000,58.70
1950,23,0.2001,1.0000,56.00
2000,31,0.0865,1.0000,51.19
2050,35,0.0615,1.0000,44.93
2100,35,0.0777,1.0000,39.98
2150,15,0.2465,1.0000,43.03
2200,12,0.4028,1.0000,50.96
2250,12,0.4804,1.0000,58.06
2300,12,0.5703,1.0000,63.84
2350,12,0.6319,1.0000,68.52
2400,12,0.6848,1.0000,72.30
2450,12,0.7258,1.0000,75.34
2500,12,0.7732,1.0000,77.77
2550,12,0.8057,1.0000,79.71
2600,12,0.8337,1.0000,81.26
2650,12,0.8553,1.0000,82.48
2700,12,0.8803,1.0000,83.45
2750,14,0.6701,1.0000,82.87
2800,14,0.6817,1.0000,81.66
2850,15,0.6125,1.0000,80.13
2900,20,0.3153,1.0000,76.04
2950,20,0.3394,1.0000,70.66
3000,23,0.2432,1.0000,65.19
3050,24,0.2518,1.0000,59.88
3100,24,0.3349,1.0000,55.80
3150,24,0.4181,1.0000,52.83
3200,24,0.4958,1.0000,50.64
3250,24,0.5652,1.0000,49.00
3300,24,0.6372,1.0000,47.76
3350,24,0.6914,1.0000,46.82
3400,24,0.7339,1.0000,46.10
3450,24,0.7705,1.0000,45.54
3500,24,0.8086,1.0000,45.11
3550,24,0.8372,1.0000,44.76
3600,24,0.8596,1.0000,44.49
3650,24,0.8789,1.0000,44.27
3700,24,0.8990,1.0000,44.10
3750,24,0.9141,1.0000,43.95
3800,24,0.9259,1.0000,43.83
3850,25,0.8719,1.0000,43.68
3900,26,0.8193,1.0000,43.07
3950,28,0.7158,1.0000,42.03
4000,28,0.7238,1.0000,40.61
4050,29,0.6930,1.0000,39.56
4100,29,0.7251,1.0000,38.56
4150,31,0.6655,0.1097,37.49
4200,33,0.6036,0.1097,36.06
4250,39,0.4242,0.1097,33.44
4300,41,0.3891,0.1097,30.49
4350,43,0.3859,0.1463,28.62
4400,43,0.4443,0.1463,27.16
4450,44,0.4823,0.1519,26.20
4500,45,0.5252,0.1519,25.27
4550,35,0.5806,0.1519,26.09
4600,34,0.5954,0.1519,28.27
4650,34,0.6041,0.1519,29.97
4700,34,0.6489,0.1519,30.71
4750,33,0.7003,0.1519,31.26
4800,32,0.7453,0.1519,31.88
4850,32,0.7858,0.1519,32.42
4900,32,0.8199,0.1519,32.68
4950,32,0.8442,0.1519,32.80
5000,32,0.8650,0.1519,32.83
5050,32,0.8870,0.1519,32.82
5100,32,0.9050,0.1519,32.79
5150,32,0.9178,0.1519,32.74
5200,32,0.9288,0.1519,32.70
5250,32,0.9403,0.1519,32.66
5300,32,0.9499,0.1519,32.62
5350,32,0.9566,0.1519,32.58
5400,32,0.9624,0.1519,32.55
5450,32,0.9685,0.1519,32.53
5500,32,0.9735,0.1519,32.50
5550,32,0.9771,0.1519,32.49
5600,32,0.9802,0.1519,32.47
5650,32,0.9834,0.1519,32.45
5700,32,0.9860,0.1519,32.44
5750,34,0.8877,0.1519,32.08
5800,34,0.8872,0.1519,31.54
5850,35,0.8452,0.1519,31.03
5900,39,0.6939,0.1519,29.74
5950,42,0.6028,0.1519,28.31
6000,43,0.5876,0.1519,26.92
6050,43,0.6181,0.1519,26.02
6100,41,0.6729,0.1519,25.92
6150,38,0.7463,0.1519,26.35
6200,38,0.6899,0.1519,27.12
6250,37,0.6871,0.2151,27.93
6300,39,0.6107,0.2314,28.31
6350,42,0.5391,0.2538,27.24
