tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0080,1.0000,88.81
200,15,0.0328,1.0000,86.51
250,15,0.0448,1.0000,84.64
300,15,0.0554,1.0000,83.12
350,15,0.0648,1.0000,81.88
400,15,0.0803,1.0000,80.88
450,15,0.0866,1.0000,80.05
500,15,0.0922,1.0000,79.39
550,15,0.0972,1.0000,78.84
600,15,0.1053,1.0000,78.40
650,16,0.1019,1.0000,77.85
700,19,0.0554,1.0000,74.44
750,24,0.0436,1.0000,68.84
800,30,0.0183,1.0000,59.37
850,30,0.0251,1.0000,51.83
900,30,0.0351,1.0000,47.01
950,30,0.0459,1.0000,43.92
1000,30,0.0656,1.0000,41.93
1050,30,0.0737,1.0000,40.64
1100,30,0.0809,1.0000,39.80
1150,30,0.0872,1.0000,39.26
1200,30,0.0976,1.0000,38.90
1250,22,0.1389,1.0000,40.24
1300,20,0.1585,1.0000,44.38
1350,18,0.1816,1.0000,48.34
1400,17,0.2020,1.0000,52.43
1450,17,0.2060,1.0000,55.73
1500,17,0.2095,1.0000,58.27
1550,17,0.2126,1.0000,60.22
1600,17,0.2177,1.0000,61.72
1650,17,0.2198,1.0000,62.86
1700,17,0.2217,1.0000,63.74
1750,17,0.2233,1.0000,64.41
1800,17,0.2260,1.0000,64.92
1850,19,0.1677,1.0000,64.76
1900,24,0.1023,1.0000,61.45
1950,27,0.0622,1.0000,55.80
2000,30,0.0664,1.0000,50.28
2050,32,0.0795,1.0000,45.67
2100,33,0.0924,1.0000,41.41
2150,28,0.1060,1.0000,38.75
2200,11,0.3198,1.0000,43.76
2250,11,0.3655,1.0000,52.91
2300,10,0.4468,1.0000,61.20
2350,10,0.4981,1.0000,68.38
2400,10,0.5560,1.0000,74.44
2450,10,0.5882,1.0000,79.56
2500,10,0.6136,1.0000,83.88
2550,10,0.6407,1.0000,87.52
2600,10,0.6712,1.0000,90.57
2650,10,0.6882,1.0000,93.14
2700,10,0.7016,1.0000,95.29
2750,11,0.6508,1.0000,96.53
2800,13,0.4624,1.0000,96.55
2850,15,0.3543,1.0000,93.16
2900,16,0.2860,1.0000,88.89
2950,19,0.1510,1.0000,82.15
3000,19,0.1959,1.0000,76.56
3050,20,0.2121,1.0000,71.69
3100,20,0.2647,1.0000,67.66
3150,20,0.3335,1.0000,64.56
3200,20,0.4141,1.0000,62.15
3250,20,0.4680,1.0000,60.28
3300,20,0.5118,1.0000,58.82
3350,20,0.5520,1.0000,57.67
3400,20,0.5963,1.0000,56.77
3450,20,0.6248,1.0000,56.05
3500,20,0.6479,1.0000,55.49
3550,20,0.6691,1.0000,55.04
3600,20,0.6925,1.0000,54.68
3650,22,0.6129,1.0000,53.65
3700,24,0.5436,0.1155,51.52
3750,26,0.4599,0.1155,49.03
3800,26,0.4750,0.1155,46.77
3850,28,0.4140,0.1155,44.75
3900,32,0.3421,0.1037,41.82
3950,33,0.3395,0.1037,38.68
4000,34,0.3453,0.1037,36.48
4050,36,0.3301,0.0971,34.47
4100,35,0.3389,0.0971,33.51
4150,34,0.3997,0.0971,33.09
4200,33,0.4481,0.1134,32.79
4250,32,0.4979,0.1231,33.18
4300,32,0.5566,0.1231,33.55
4350,32,0.6126,0.1231,33.68
4400,32,0.6728,0.1231,33.67
4450,32,0.7199,0.1231,33.58
4500,32,0.7625,0.1231,33.47
4550,32,0.7950,0.1231,33.34
4600,32,0.8273,0.1231,33.22
4650,32,0.8522,0.1231,33.10
4700,32,0.8747,0.1231,33.00
4750,32,0.8918,0.1231,32.91
4800,32,0.9089,0.1231,32.83
4850,32,0.9220,0.1231,32.76
4900,32,0.9339,0.1231,32.71
4950,32,0.9429,0.1231,32.66
5000,32,0.9519,0.1231,32.61
5050,32,0.9588,0.1231,32.58
5100,32,0.9651,0.1231,32.55
5150,32,0.9699,0.1231,32.52
5200,32,0.9746,0.1231,32.50
5250,32,0.9783,0.1231,32.48
5300,32,0.9816,0.1231,32.46
5350,34,0.8823,0.1231,31.81
5400,36,0.7958,0.1231,31.15
5450,36,0.8021,0.1231,30.37
5500,37,0.7753,0.1897,29.79
5550,40,0.6854,0.1897,28.89
5600,41,0.6681,0.1897,27.84
5650,42,0.6592,0.1897,26.94
5700,40,0.6677,0.1897,26.64
5750,41,0.6322,0.2245,26.67
5800,42,0.6067,0.2245,26.26
5850,43,0.5250,0.2245,26.32
5900,44,0.5010,0.2245,25.73
5950,45,0.4875,0.2718,25.35
6000,42,0.5401,0.2718,25.27
6050,42,0.5428,0.2718,25.64
6100,40,0.5517,0.2718,25.76
6150,40,0.5379,0.2718,26.49
6200,38,0.5911,0.2718,26.93
6250,39,0.6024,0.3092,27.49
6300,39,0.6190,0.3092,27.51
6350,36,0.6841,0.3092,28.02
