tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0491,1.0000,86.49
250,15,0.0672,1.0000,84.59
300,15,0.0832,1.0000,83.03
350,15,0.0972,1.0000,81.75
400,15,0.1204,1.0000,80.70
450,15,0.1299,1.0000,79.83
500,15,0.1383,1.0000,79.12
550,15,0.1457,1.0000,78.54
600,15,0.1580,1.0000,78.06
650,15,0.1630,1.0000,77.67
700,16,0.1570,1.0000,77.30
750,21,0.0653,1.0000,73.43
800,24,0.0536,1.0000,66.64
850,29,0.0264,1.0000,58.22
900,30,0.0334,1.0000,51.13
950,30,0.0519,1.0000,46.54
1000,30,0.0748,1.0000,43.58
1050,30,0.0952,1.0000,41.66
1100,30,0.1077,1.0000,40.41
1150,30,0.1206,1.0000,39.59
1200,30,0.1339,1.0000,39.05
1250,30,0.1447,1.0000,38.69
1300,22,0.2063,1.0000,40.53
1350,20,0.2372,1.0000,44.20
1400,18,0.2752,1.0000,48.32
1450,18,0.2847,1.0000,51.78
1500,18,0.2905,1.0000,54.39
1550,18,0.2965,1.0000,56.35
1600,18,0.3027,1.0000,57.82
1650,18,0.3077,1.0000,58.92
1700,18,0.3107,1.0000,59.75
1750,18,0.3139,1.0000,60.37
1800,18,0.3171,1.0000,60.83
1850,18,0.3198,1.0000,61.18
1900,19,0.2691,1.0000,61.35
1950,22,0.1979,1.0000,59.22
2000,25,0.1451,1.0000,55.16
2050,31,0.1039,1.0000,50.27
2100,35,0.0659,1.0000,44.01
2150,36,0.0831,1.0000,39.09
2200,14,0.2906,1.0000,42.85
2250,12,0.4218,1.0000,51.30
2300,12,0.5174,1.0000,58.31
2350,12,0.5821,1.0000,64.02
2400,12,0.6467,1.0000,68.65
2450,12,0.6948,1.0000,72.38
2500,12,0.7453,1.0000,75.38
2550,12,0.7795,1.0000,77.79
2600,12,0.8135,1.0000,79.72
2650,12,0.8390,1.0000,81.25
2700,12,0.8656,1.0000,82.46
2750,12,0.8836,1.0000,83.43
2800,13,0.7830,1.0000,83.85
2850,13,0.7921,1.0000,83.45
2900,16,0.5243,1.0000,81.33
2950,19,0.3455,1.0000,77.25
3000,21,0.2621,1.0000,71.60
3050,24,0.1791,1.0000,64.76
3100,24,0.2395,1.0000,59.35
3150,24,0.3233,1.0000,55.46
3200,24,0.4197,1.0000,52.60
3250,24,0.5102,1.0000,50.46
3300,24,0.5791,1.0000,48.86
3350,24,0.6383,1.0000,47.65
3400,24,0.6938,1.0000,46.74
3450,24,0.7415,1.0000,46.04
3500,24,0.7779,1.0000,45.49
3550,24,0.8091,1.0000,45.07
3600,24,0.8384,1.0000,44.73
3650,24,0.8636,1.0000,44.47
3700,24,0.8828,1.0000,44.25
3750,24,0.8993,1.0000,44.08
3800,24,0.9147,1.0000,43.94
3850,26,0.8039,1.0000,43.43
3900,26,0.8103,1.0000,42.49
3950,26,0.8237,1.0000,41.86
4000,26,0.8419,1.0000,41.43
4050,27,0.8081,1.0000,41.08
4100,28,0.7668,1.0000,40.04
4150,29,0.7344,1.0000,39.09
4200,33,0.5752,1.0000,37.35
4250,37,0.4552,1.0000,34.74
4300,38,0.4515,1.0000,32.36
4350,42,0.3817,1.0000,29.87
4400,44,0.3757,0.1497,27.66
4450,47,0.3705,0.1497,26.00
4500,47,0.4304,0.1497,24.69
4550,41,0.4734,0.1555,24.26
4600,34,0.5547,0.1555,26.66
4650,32,0.6304,0.1555,29.35
4700,30,0.7023,0.1555,31.11
4750,29,0.7539,0.1555,33.22
4800,29,0.7945,0.1555,34.51
4850,29,0.8253,0.1555,35.26
4900,29,0.8496,0.1555,35.68
4950,29,0.8701,0.1555,35.91
5000,29,0.8915,0.1555,36.02
5050,29,0.9078,0.1555,36.06
5100,29,0.9206,0.1555,36.06
5150,29,0.9315,0.1555,36.05
5200,29,0.9428,0.1555,36.02
5250,29,0.9514,0.1555,35.99
5300,29,0.9581,0.1555,35.96
5350,29,0.9638,0.1555,35.93
5400,29,0.9698,0.1555,35.91
5450,29,0.9743,0.1555,35.88
5500,29,0.9779,0.1555,35.86
5550,30,0.9250,0.1555,35.71
5600,30,0.9269,0.1555,35.36
5650,31,0.8767,0.1555,35.03
5700,31,0.8838,0.1555,34.56
5750,33,0.7938,0.1555,34.05
5800,33,0.8041,0.1555,33.22
5850,34,0.7740,0.1555,32.51
5900,34,0.7898,0.1555,31.95
5950,35,0.7756,0.1555,31.47
6000,36,0.7544,0.1555,30.74
6050,38,0.6941,0.1555,30.04
6100,42,0.5800,0.1834,28.37
6150,45,0.5155,0.2062,26.54
6200,46,0.5195,0.2062,25.23
6250,43,0.5655,0.2062,24.80
6300,43,0.5933,0.2062,25.03
6350,40,0.5804,0.2062,25.74
