tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0120,1.0000,88.80
200,15,0.0491,1.0000,86.49
250,15,0.0672,1.0000,84.59
300,15,0.0832,1.0000,83.03
350,15,0.0972,1.0000,81.75
400,15,0.1204,1.0000,80.70
450,15,0.1299,1.0000,79.83
500,15,0.1383,1.0000,79.12
550,15,0.1457,1.0000,78.54
600,15,0.1580,1.0000,78.06
650,15,0.1630,1.0000,77.67
700,18,0.1396,1.0000,75.91
750,23,0.0580,1.0000,69.41
800,27,0.0489,1.0000,62.09
850,28,0.0554,1.0000,55.15
900,30,0.0400,1.0000,49.29
950,30,0.0512,1.0000,45.36
1000,30,0.0765,1.0000,42.83
1050,30,0.0903,1.0000,41.19
1100,30,0.1035,1.0000,40.11
1150,30,0.1177,1.0000,39.41
1200,30,0.1342,1.0000,38.94
1250,26,0.1640,1.0000,38.82
1300,23,0.1944,1.0000,41.33
1350,19,0.2472,1.0000,45.32
1400,18,0.2755,1.0000,49.47
1450,18,0.2824,1.0000,52.65
1500,18,0.2885,1.0000,55.05
1550,18,0.2951,1.0000,56.85
1600,18,0.3028,1.0000,58.20
1650,18,0.3065,1.0000,59.21
1700,18,0.3097,1.0000,59.97
1750,18,0.3132,1.0000,60.54
1800,18,0.3172,1.0000,60.96
1850,18,0.3191,1.0000,61.28
1900,19,0.3040,1.0000,61.28
1950,23,0.2215,1.0000,58.83
2000,29,0.1022,1.0000,54.42
2050,33,0.0693,1.0000,47.84
2100,34,0.0742,1.0000,42.23
2150,27,0.0985,1.0000,39.39
2200,14,0.2829,1.0000,45.69
2250,12,0.4105,1.0000,53.65
2300,12,0.4787,1.0000,60.29
2350,12,0.5545,1.0000,65.68
2400,12,0.6402,1.0000,70.04
2450,12,0.6874,1.0000,73.55
2500,12,0.7249,1.0000,76.36
2550,12,0.7649,1.0000,78.62
2600,12,0.8101,1.0000,80.41
2650,12,0.8350,1.0000,81.83
2700,12,0.8548,1.0000,82.95
2750,12,0.8759,1.0000,83.84
2800,12,0.8998,1.0000,84.53
2850,13,0.7913,1.0000,84.62
2900,14,0.6942,1.0000,83.45
2950,19,0.3405,1.0000,79.16
3000,21,0.2510,1.0000,72.75
3050,24,0.1664,1.0000,66.55
3100,24,0.2186,1.0000,60.63
3150,24,0.3007,1.0000,56.38
3200,24,0.4050,1.0000,53.27
3250,24,0.4944,1.0000,50.96
3300,24,0.5606,1.0000,49.23
3350,24,0.6217,1.0000,47.94
3400,24,0.6852,1.0000,46.95
3450,24,0.7332,1.0000,46.20
3500,24,0.7681,1.0000,45.62
3550,24,0.8003,1.0000,45.17
3600,24,0.8339,1.0000,44.81
3650,24,0.8592,1.0000,44.53
3700,24,0.8776,1.0000,44.30
3750,24,0.8946,1.0000,44.12
3800,24,0.9123,1.0000,43.97
3850,24,0.9257,1.0000,43.85
3900,24,0.9354,1.0000,43.75
3950,24,0.9444,1.0000,43.67
4000,24,0.9537,1.0000,43.60
4050,25,0.8952,1.0000,43.53
4100,26,0.8381,1.0000,42.88
4150,28,0.7282,1.0000,41.65
4200,34,0.4810,1.0000,39.19
4250,35,0.4604,1.0000,36.00
4300,42,0.2933,0.1340,32.94
4350,44,0.2883,0.1340,29.49
4400,46,0.2974,0.1403,27.16
4450,48,0.3244,0.1403,25.30
4500,48,0.3966,0.1403,24.14
4550,40,0.4674,0.1403,23.90
4600,31,0.5748,0.1403,27.60
4650,29,0.6552,0.1403,30.77
4700,28,0.7123,0.1403,33.30
4750,27,0.7635,0.1403,35.43
4800,27,0.8054,0.1403,36.82
4850,27,0.8340,0.1403,37.66
4900,27,0.8555,0.1403,38.16
4950,27,0.8752,0.1403,38.45
5000,27,0.8973,0.1403,38.60
5050,27,0.9124,0.1403,38.67
5100,27,0.9238,0.1403,38.70
5150,27,0.9341,0.1403,38.69
5200,27,0.9458,0.1403,38.68
5250,27,0.9538,0.1403,38.65
5300,27,0.9598,0.1403,38.63
5350,27,0.9652,0.1403,38.60
5400,27,0.9714,0.1403,38.57
5450,27,0.9756,0.1403,38.55
5500,27,0.9788,0.1403,38.53
5550,27,0.9817,0.1403,38.51
5600,27,0.9849,0.1403,38.50
5650,27,0.9871,0.1403,38.48
5700,27,0.9888,0.1403,38.47
5750,28,0.9289,0.1403,38.13
5800,30,0.8221,0.1403,37.67
5850,32,0.7264,0.1403,36.15
5900,34,0.6470,0.1403,34.70
5950,35,0.6229,0.1585,33.16
6000,37,0.5833,0.1585,31.76
6050,40,0.5203,0.1585,30.03
6100,45,0.4107,0.1585,27.89
6150,46,0.4272,0.1585,25.98
6200,47,0.4540,0.1890,24.77
6250,44,0.4934,0.2157,24.24
6300,37,0.5243,0.2289,25.57
6350,35,0.4959,0.2337,27.66
