tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0200,1.0000,88.79
200,15,0.0819,1.0000,86.44
250,15,0.1121,1.0000,84.48
300,15,0.1386,1.0000,82.84
350,15,0.1620,1.0000,81.47
400,15,0.2006,1.0000,80.34
450,15,0.2166,1.0000,79.39
500,15,0.2306,1.0000,78.60
550,15,0.2429,1.0000,77.95
600,16,0.2468,1.0000,76.71
650,16,0.2547,1.0000,75.37
700,20,0.1178,1.0000,72.36
750,23,0.0729,1.0000,65.95
800,25,0.0844,1.0000,60.28
850,27,0.1063,1.0000,54.68
900,29,0.1041,1.0000,49.50
950,30,0.1302,1.0000,45.59
1000,30,0.1686,1.0000,42.81
1050,30,0.1934,1.0000,41.00
1100,30,0.2172,1.0000,39.80
1150,30,0.2381,1.0000,39.01
1200,30,0.2615,1.0000,38.48
1250,25,0.3303,1.0000,38.54
1300,22,0.3924,1.0000,41.40
1350,22,0.4075,1.0000,44.03
1400,22,0.4243,1.0000,45.88
1450,22,0.4342,1.0000,47.16
1500,21,0.4643,1.0000,48.65
1550,15,0.6617,1.0000,51.18
1600,15,0.6748,1.0000,55.64
1650,15,0.6824,1.0000,59.11
1700,15,0.6894,1.0000,61.83
1750,15,0.6955,1.0000,63.95
1800,16,0.6585,1.0000,65.60
1850,18,0.5117,1.0000,65.36
1900,20,0.3901,1.0000,63.49
1950,23,0.2794,1.0000,59.66
2000,27,0.1972,1.0000,54.48
2050,29,0.1718,1.0000,49.14
2100,29,0.2218,1.0000,45.54
2150,30,0.2478,1.0000,43.08
2200,24,0.3907,1.0000,42.95
2250,23,0.4807,1.0000,43.94
2300,22,0.5672,1.0000,45.16
2350,22,0.6275,1.0000,46.38
2400,22,0.6885,1.0000,47.16
2450,22,0.7341,1.0000,47.61
2500,22,0.7708,1.0000,47.87
2550,22,0.8034,1.0000,47.98
2600,22,0.8356,1.0000,48.02
2650,22,0.8597,1.0000,48.00
2700,22,0.8790,1.0000,47.95
2750,22,0.8963,1.0000,47.88
2800,22,0.9132,1.0000,47.81
2850,22,0.9259,1.0000,47.74
2900,22,0.9362,1.0000,47.67
2950,22,0.9452,1.0000,47.61
3000,23,0.8818,1.0000,47.21
3050,23,0.8867,1.0000,46.72
3100,24,0.8306,1.0000,45.89
3150,25,0.7781,1.0000,45.04
3200,28,0.6308,1.0000,43.46
3250,33,0.4412,1.0000,40.56
3300,37,0.3423,1.0000,36.96
3350,38,0.3384,1.0000,33.91
3400,39,0.3672,1.0000,31.52
3450,40,0.4081,1.0000,29.91
3500,42,0.4247,1.0000,28.58
3550,43,0.4588,1.0000,27.28
3600,43,0.5237,1.0000,26.37
3650,43,0.5848,1.0000,25.82
3700,37,0.6559,1.0000,26.97
3750,36,0.7095,1.0000,28.15
3800,35,0.7292,1.0000,29.21
3850,34,0.7715,1.0000,30.02
3900,34,0.8002,1.0000,30.52
3950,34,0.8249,1.0000,30.76
4000,34,0.8525,1.0000,30.86
4050,34,0.8737,1.0000,30.88
4100,34,0.8935,1.0000,30.86
4150,34,0.9076,1.0000,30.83
4200,34,0.9222,1.0000,30.79
4250,34,0.9334,1.0000,30.75
4300,34,0.9438,1.0000,30.71
4350,34,0.9512,1.0000,30.68
4400,34,0.9589,1.0000,30.64
4450,34,0.9648,1.0000,30.62
4500,34,0.9703,1.0000,30.59
4550,34,0.9743,1.0000,30.57
4600,34,0.9783,1.0000,30.56
4650,34,0.9814,1.0000,30.54
4700,34,0.9843,1.0000,30.53
4750,34,0.9864,1.0000,30.52
4800,34,0.9886,1.0000,30.51
4850,34,0.9902,1.0000,30.50
4900,35,0.9435,1.0000,30.37
4950,38,0.8131,1.0000,29.71
5000,39,0.7709,1.0000,28.76
5050,40,0.7413,1.0000,27.74
5100,41,0.7237,1.0000,27.11
5150,44,0.6487,1.0000,26.13
5200,43,0.6808,1.0000,25.37
5250,41,0.6973,1.0000,25.78
5300,42,0.6423,1.0000,25.91
5350,45,0.5517,1.0000,25.20
5400,44,0.5306,1.0000,24.80
5450,47,0.4855,0.2519,24.31
5500,48,0.4803,0.2519,23.56
5550,46,0.4914,0.2678,23.43
5600,45,0.4982,0.2569,23.80
5650,42,0.5615,0.2569,24.51
5700,40,0.6266,0.2569,25.60
5750,38,0.6671,0.2569,26.59
5800,39,0.6501,0.2569,27.34
5850,38,0.6589,0.2569,27.85
5900,38,0.6879,0.2569,28.02
5950,38,0.7203,0.2569,28.07
6000,39,0.7228,0.2497,27.90
6050,38,0.7643,0.2497,27.84
6100,36,0.8148,0.2497,28.15
6150,35,0.8489,0.2497,28.83
6200,35,0.8723,0.2497,29.35
6250,35,0.8908,0.2497,29.62
6300,35,0.9084,0.2497,29.75
6350,34,0.9312,0.2497,30.15
