tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0360,1.0000,88.77
200,15,0.1474,1.0000,86.35
250,15,0.2017,1.0000,84.25
300,15,0.2495,1.0000,82.46
350,15,0.2916,1.0000,80.93
400,15,0.3611,1.0000,79.63
450,15,0.3898,1.0000,78.52
500,15,0.4150,1.0000,77.57
550,15,0.4372,1.0000,76.77
600,15,0.4739,1.0000,76.10
650,15,0.4891,1.0000,75.52
700,15,0.5024,1.0000,75.03
750,22,0.2398,1.0000,71.50
800,27,0.1466,1.0000,64.10
850,30,0.0735,1.0000,56.11
900,30,0.0982,1.0000,49.61
950,30,0.1359,1.0000,45.41
1000,30,0.2131,1.0000,42.65
1050,30,0.2646,1.0000,40.80
1100,30,0.3090,1.0000,39.54
1150,30,0.3457,1.0000,38.67
1200,30,0.3952,1.0000,38.06
1250,28,0.4532,1.0000,37.69
1300,25,0.5357,1.0000,38.96
1350,24,0.5823,1.0000,40.94
1400,24,0.6149,1.0000,42.29
1450,24,0.6333,1.0000,43.18
1500,21,0.7414,1.0000,44.58
1550,19,0.8356,1.0000,46.98
1600,18,0.9050,1.0000,49.91
1650,18,0.9178,1.0000,52.07
1700,18,0.9287,1.0000,53.65
1750,18,0.9377,1.0000,54.80
1800,18,0.9498,1.0000,55.64
1850,18,0.9566,1.0000,56.25
1900,18,0.9624,1.0000,56.69
1950,18,0.9671,1.0000,57.00
2000,20,0.8044,1.0000,56.41
2050,25,0.5010,1.0000,54.09
2100,27,0.4167,1.0000,50.32
2150,31,0.2874,1.0000,45.40
2200,33,0.2717,1.0000,41.54
2250,34,0.3082,1.0000,38.08
2300,36,0.3178,1.0000,35.43
2350,36,0.3854,1.0000,33.47
2400,36,0.4849,1.0000,32.23
2450,36,0.5540,1.0000,31.40
2500,36,0.6141,1.0000,30.83
2550,36,0.6656,1.0000,30.42
2600,36,0.7272,1.0000,30.11
2650,36,0.7646,1.0000,29.87
2700,36,0.7964,1.0000,29.68
2750,36,0.8235,1.0000,29.53
2800,36,0.8560,1.0000,29.41
2850,36,0.8758,1.0000,29.31
2900,36,0.8925,1.0000,29.22
2950,36,0.9069,1.0000,29.15
3000,36,0.9240,1.0000,29.09
3050,36,0.9344,1.0000,29.04
3100,36,0.9433,1.0000,29.00
3150,36,0.9509,1.0000,28.96
3200,36,0.9599,1.0000,28.93
3250,36,0.9654,1.0000,28.90
3300,36,0.9701,1.0000,28.88
3350,36,0.9741,1.0000,28.86
3400,36,0.9788,1.0000,28.85
3450,36,0.9817,1.0000,28.83
3500,36,0.9842,1.0000,28.82
3550,36,0.9863,1.0000,28.81
3600,37,0.9423,1.0000,28.70
3650,38,0.8998,1.0000,28.28
3700,38,0.9001,1.0000,27.93
3750,39,0.8668,1.0000,27.49
3800,39,0.8773,1.0000,27.21
3850,42,0.7745,1.0000,26.38
3900,44,0.6902,1.0000,25.51
3950,45,0.6515,1.0000,24.88
4000,46,0.6173,1.0000,24.19
4050,47,0.5980,1.0000,23.46
4100,45,0.6039,1.0000,23.32
4150,49,0.5007,1.0000,22.96
4200,47,0.5263,1.0000,22.93
4250,46,0.5527,1.0000,23.24
4300,44,0.6107,1.0000,23.77
4350,44,0.5432,1.0000,24.00
4400,43,0.5652,1.0000,24.43
4450,45,0.5191,1.0000,24.38
4500,46,0.5282,1.0000,24.13
4550,44,0.5888,1.0000,24.01
4600,40,0.6829,1.0000,24.82
4650,40,0.7000,1.0000,25.66
4700,39,0.7168,1.0000,26.49
4750,38,0.7538,1.0000,27.11
4800,38,0.7887,1.0000,27.48
4850,38,0.8141,1.0000,27.65
4900,38,0.8401,1.0000,27.69
4950,37,0.8721,1.0000,28.00
5000,36,0.9090,1.0000,28.31
5050,36,0.9213,1.0000,28.63
5100,36,0.9317,1.0000,28.79
5150,36,0.9404,1.0000,28.86
5200,36,0.9520,1.0000,28.89
5250,36,0.9585,1.0000,28.89
5300,36,0.9640,1.0000,28.89
5350,36,0.9685,1.0000,28.87
5400,36,0.9747,1.0000,28.86
5450,36,0.9781,1.0000,28.85
5500,36,0.9810,1.0000,28.83
5550,36,0.9834,1.0000,28.82
5600,36,0.9866,1.0000,28.81
5650,36,0.9884,1.0000,28.80
5700,36,0.9900,1.0000,28.80
5750,36,0.9912,1.0000,28.79
5800,36,0.9929,1.0000,28.79
5850,36,0.9939,1.0000,28.78
5900,38,0.9037,1.0000,28.44
5950,38,0.9043,1.0000,28.01
6000,40,0.8270,1.0000,27.51
6050,40,0.8320,1.0000,26.94
6100,40,0.8504,1.0000,26.64
6150,40,0.8388,0.2106,26.40
6200,42,0.7508,0.2106,26.02
6250,43,0.6789,0.2106,25.20
6300,46,0.6023,0.2106,24.75
6350,48,0.5708,0.2106,23.83
