tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0080,1.0000,88.81
200,15,0.0328,1.0000,86.51
250,15,0.0448,1.0000,84.64
300,15,0.0554,1.0000,83.12
350,15,0.0648,1.0000,81.88
400,15,0.0803,1.0000,80.88
450,15,0.0866,1.0000,80.05
500,15,0.0922,1.0000,79.39
550,15,0.0972,1.0000,78.84
600,15,0.1053,1.0000,78.40
650,15,0.1087,1.0000,78.03
700,17,0.0985,1.0000,76.47
750,23,0.0484,1.0000,72.36
800,25,0.0435,1.0000,64.54
850,29,0.0162,1.0000,56.07
900,30,0.0215,1.0000,49.92
950,30,0.0310,1.0000,45.80
1000,30,0.0462,1.0000,43.16
1050,30,0.0597,1.0000,41.45
1100,30,0.0706,1.0000,40.34
1150,30,0.0781,1.0000,39.62
1200,30,0.0874,1.0000,39.15
1250,30,0.0945,1.0000,38.83
1300,21,0.1432,1.0000,41.32
1350,19,0.1645,1.0000,45.52
1400,18,0.1818,1.0000,49.63
1450,17,0.1991,1.0000,53.42
1500,17,0.2044,1.0000,56.50
1550,17,0.2082,1.0000,58.86
1600,17,0.2127,1.0000,60.68
1650,17,0.2162,1.0000,62.07
1700,17,0.2190,1.0000,63.14
1750,17,0.2210,1.0000,63.95
1800,17,0.2234,1.0000,64.57
1850,21,0.1505,1.0000,63.91
1900,21,0.1481,1.0000,61.30
1950,23,0.1399,1.0000,59.13
2000,27,0.0983,1.0000,54.75
2050,29,0.0714,1.0000,50.06
2100,32,0.0533,1.0000,45.15
2150,33,0.0648,1.0000,41.24
2200,26,0.1086,1.0000,39.13
2250,12,0.3041,1.0000,45.11
2300,9,0.4672,1.0000,54.70
2350,9,0.5307,1.0000,63.69
2400,9,0.5834,1.0000,71.41
2450,9,0.6337,1.0000,78.05
2500,9,0.6663,1.0000,83.74
2550,9,0.6999,1.0000,88.61
2600,9,0.7277,1.0000,92.78
2650,9,0.7542,1.0000,96.34
2700,9,0.7714,1.0000,99.39
2750,9,0.7891,1.0000,99.70
2800,12,0.4872,1.0000,99.64
2850,14,0.3254,1.0000,97.53
2900,15,0.2754,1.0000,94.01
2950,17,0.1890,1.0000,88.40
3000,18,0.1841,1.0000,83.06
3050,18,0.2590,1.0000,78.20
3100,18,0.3247,1.0000,74.36
3150,18,0.3961,1.0000,71.30
3200,18,0.4772,1.0000,68.85
3250,18,0.5383,1.0000,66.87
3300,18,0.5849,1.0000,65.28
3350,18,0.6288,1.0000,64.00
3400,18,0.6716,1.0000,62.97
3450,18,0.7039,1.0000,62.14
3500,19,0.6585,1.0000,61.30
3550,19,0.6780,1.0000,60.07
3600,19,0.6972,1.0000,59.13
3650,21,0.5936,1.0000,57.98
3700,24,0.4752,1.0000,54.65
3750,25,0.4456,1.0000,51.51
3800,26,0.4294,1.0000,48.75
3850,29,0.3822,0.0902,45.63
3900,30,0.3839,0.0902,42.62
3950,32,0.3572,0.1034,39.79
4000,34,0.3363,0.1034,37.49
4050,35,0.3651,0.1208,35.23
4100,34,0.4262,0.1208,33.76
4150,34,0.4638,0.1208,33.37
4200,34,0.5257,0.1208,32.88
4250,33,0.5994,0.1208,32.51
4300,32,0.6694,0.1361,32.90
4350,32,0.7187,0.1361,33.12
4400,32,0.7610,0.1361,33.19
4450,32,0.7962,0.1361,33.18
4500,32,0.8250,0.1361,33.12
4550,32,0.8516,0.1361,33.04
4600,32,0.8739,0.1361,32.97
4650,32,0.8924,0.1361,32.89
4700,32,0.9076,0.1361,32.82
4750,32,0.9217,0.1361,32.76
4800,32,0.9334,0.1361,32.70
4850,32,0.9432,0.1361,32.65
4900,32,0.9512,0.1361,32.61
4950,32,0.9587,0.1361,32.58
5000,32,0.9649,0.1361,32.55
5050,32,0.9700,0.1361,32.52
5100,32,0.9743,0.1361,32.50
5150,32,0.9782,0.1361,32.48
5200,34,0.8818,0.1361,32.12
5250,36,0.7918,0.1361,31.07
5300,36,0.7954,0.1361,30.33
5350,38,0.7346,0.2004,29.68
5400,39,0.7129,0.2004,28.77
5450,40,0.7022,0.2004,27.94
5500,42,0.6569,0.2004,26.89
5550,40,0.6387,0.2004,26.36
5600,40,0.6655,0.2004,26.60
5650,41,0.6113,0.2004,26.60
5700,40,0.6228,0.2004,26.60
5750,39,0.6359,0.2004,27.01
5800,39,0.6426,0.2004,27.40
5850,42,0.5544,0.2615,27.09
5900,39,0.5990,0.2615,26.57
5950,42,0.5382,0.2615,26.75
6000,44,0.4906,0.2985,26.06
6050,44,0.5080,0.3407,25.39
6100,40,0.5417,0.3407,25.64
6150,41,0.5645,0.3407,26.25
6200,39,0.6274,0.3407,26.53
6250,36,0.6653,0.3407,27.60
6300,35,0.7123,0.3407,28.82
6350,35,0.7491,0.3407,29.53
