tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0240,1.0000,88.79
200,15,0.0983,1.0000,86.42
250,15,0.1345,1.0000,84.42
300,15,0.1663,1.0000,82.74
350,15,0.1944,1.0000,81.34
400,15,0.2408,1.0000,80.16
450,15,0.2599,1.0000,79.17
500,15,0.2767,1.0000,78.34
550,15,0.2915,1.0000,77.65
600,15,0.3160,1.0000,77.07
650,15,0.3260,1.0000,76.58
700,18,0.2120,1.0000,75.15
750,22,0.1455,1.0000,70.22
800,25,0.1128,1.0000,63.35
850,30,0.0632,1.0000,55.72
900,30,0.0881,1.0000,49.38
950,30,0.1185,1.0000,45.30
1000,30,0.1619,1.0000,42.65
1050,30,0.1931,1.0000,40.90
1100,30,0.2214,1.0000,39.74
1150,30,0.2491,1.0000,38.96
1200,30,0.2744,1.0000,38.42
1250,26,0.3356,1.0000,38.39
1300,22,0.4169,1.0000,40.87
1350,21,0.4576,1.0000,44.06
1400,21,0.4767,1.0000,46.43
1450,21,0.4891,1.0000,48.10
1500,21,0.5004,1.0000,49.28
1550,17,0.6317,1.0000,50.57
1600,17,0.6441,1.0000,53.69
1650,16,0.6930,1.0000,56.06
1700,16,0.7008,1.0000,58.59
1750,16,0.7084,1.0000,60.53
1800,16,0.7154,1.0000,62.01
1850,17,0.6378,1.0000,63.04
1900,19,0.4949,1.0000,62.44
1950,25,0.2369,1.0000,59.30
2000,26,0.2343,1.0000,54.34
2050,29,0.2155,1.0000,50.04
2100,30,0.2289,1.0000,45.86
2150,26,0.2951,1.0000,43.40
2200,24,0.3517,1.0000,44.36
2250,24,0.4198,1.0000,44.96
2300,24,0.4824,1.0000,45.26
2350,24,0.5514,1.0000,45.36
2400,24,0.6183,1.0000,45.32
2450,24,0.6679,1.0000,45.20
2500,24,0.7057,1.0000,45.04
2550,24,0.7436,1.0000,44.87
2600,23,0.8128,1.0000,44.77
2650,23,0.8401,1.0000,45.15
2700,23,0.8609,1.0000,45.37
2750,23,0.8817,1.0000,45.48
2800,23,0.9012,1.0000,45.53
2850,23,0.9156,1.0000,45.54
2900,23,0.9266,1.0000,45.52
2950,23,0.9376,1.0000,45.50
3000,23,0.9478,1.0000,45.46
3050,23,0.9555,1.0000,45.42
3100,23,0.9612,1.0000,45.39
3150,26,0.7722,1.0000,44.73
3200,29,0.6200,1.0000,42.51
3250,31,0.5406,1.0000,40.13
3300,34,0.4563,1.0000,37.27
3350,36,0.4209,1.0000,34.71
3400,39,0.3792,1.0000,32.27
3450,42,0.3597,1.0000,30.14
3500,42,0.4148,1.0000,28.32
3550,43,0.4482,1.0000,27.06
3600,43,0.5264,1.0000,26.26
3650,43,0.5945,1.0000,25.75
3700,37,0.6318,1.0000,26.65
3750,35,0.6180,1.0000,28.59
3800,34,0.6645,1.0000,29.64
3850,34,0.7017,1.0000,30.44
3900,34,0.7377,1.0000,30.85
3950,34,0.7769,1.0000,31.03
4000,34,0.8111,1.0000,31.08
4050,34,0.8394,1.0000,31.06
4100,34,0.8610,1.0000,31.01
4150,34,0.8822,1.0000,30.96
4200,34,0.9003,1.0000,30.90
4250,34,0.9152,1.0000,30.84
4300,34,0.9267,1.0000,30.79
4350,34,0.9378,1.0000,30.74
4400,34,0.9474,1.0000,30.70
4450,34,0.9553,1.0000,30.66
4500,34,0.9613,1.0000,30.63
4550,34,0.9672,1.0000,30.61
4600,34,0.9722,1.0000,30.59
4650,34,0.9764,1.0000,30.57
4700,34,0.9796,1.0000,30.55
4750,34,0.9827,1.0000,30.54
4800,34,0.9853,1.0000,30.52
4850,34,0.9875,1.0000,30.51
4900,35,0.9411,1.0000,30.43
4950,35,0.9416,1.0000,30.14
5000,35,0.9421,1.0000,29.97
5050,36,0.9031,1.0000,29.78
5100,39,0.7819,1.0000,28.80
5150,39,0.7867,1.0000,28.02
5200,41,0.7289,1.0000,27.21
5250,44,0.6237,1.0000,26.27
5300,46,0.5865,1.0000,25.10
5350,44,0.5960,1.0000,24.48
5400,45,0.5789,1.0000,24.34
5450,46,0.5424,0.2965,24.20
5500,45,0.4964,0.2691,24.14
5550,44,0.5115,0.2508,24.23
5600,43,0.5347,0.2508,24.47
5650,44,0.5367,0.2422,24.59
5700,40,0.6117,0.2422,25.03
5750,39,0.6357,0.2422,25.97
5800,40,0.6203,0.2422,26.71
5850,41,0.5999,0.2318,26.65
5900,41,0.5766,0.2317,26.50
5950,41,0.6113,0.2317,26.44
6000,40,0.6608,0.2317,26.58
6050,39,0.7194,0.2317,26.79
6100,37,0.7736,0.2317,27.50
6150,35,0.8312,0.2317,28.42
6200,34,0.8703,0.2317,29.45
6250,34,0.8891,0.2317,30.06
6300,34,0.9037,0.2317,30.38
6350,34,0.9186,0.2317,30.54
