seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
117,10000,C,4650,4700,-1,True,37,0.7831,0.1820,3,144
118,10000,D,4200,4250,5800,True,33,0.9909,0.2591,4,135
119,10000,C,5000,5050,-1,True,36,0.7767,0.1688,3,143
120,10000,D,4200,4250,5800,True,34,0.9606,0.2509,4,137
121,10000,C,6300,6350,-1,True,35,0.9725,0.1073,2,140
122,10000,C,5200,5250,-1,True,41,0.6304,0.1460,3,143
123,10000,D,4950,5000,6350,True,40,0.6702,0.1671,5,146
124,10000,C,4700,4750,-1,True,35,0.8197,0.1631,3,145
125,10000,D,5100,5150,6300,True,38,0.7013,0.1738,4,149
126,10000,C,5200,5250,-1,True,42,0.5994,0.1094,3,144
127,10000,D,4450,4500,6050,True,33,0.9877,0.2484,4,134
128,10000,D,4550,4600,6000,True,33,0.9815,0.2097,6,131
129,10000,C,5650,5700,-1,True,44,0.5386,0.1426,3,144
130,10000,C,4800,4850,-1,True,36,0.8205,0.1694,3,144
131,10000,C,9450,9500,-1,True,49,0.4648,0.1554,4,150
132,10000,C,5450,5500,-1,True,38,0.6782,0.1179,3,144
133,10000,C,4800,4850,-1,True,36,0.8019,0.1732,3,147
134,10000,D,4400,4450,5850,True,33,0.9824,0.2393,4,135
135,10000,D,5550,5600,6850,True,41,0.6808,0.1284,5,139
136,10000,D,3850,3900,5350,True,37,0.8446,0.2456,5,136
137,10000,C,4750,4800,-1,True,34,0.8739,0.1628,3,142
138,10000,C,5150,5200,-1,True,52,0.3925,0.1435,4,151
139,10000,C,4650,4700,-1,True,35,0.8396,0.1679,3,145
140,10000,D,3700,3750,5250,True,44,0.5239,0.2494,5,142
141,10000,C,9300,9350,-1,True,48,0.4992,0.1676,4,144
142,10000,C,4650,4700,-1,True,34,0.8515,0.1610,3,141
143,10000,D,5400,5450,6700,True,41,0.7031,0.1428,4,139
144,10000,D,3750,3800,5550,True,49,0.5093,0.2053,6,145
145,10000,C,7950,8000,-1,True,42,0.6405,0.1781,3,141
146,10000,C,4700,4750,-1,True,33,0.8667,0.1565,3,144
147,10000,C,5300,5350,-1,True,37,0.6259,0.1067,3,148
148,10000,D,4350,4400,5550,True,37,0.9078,0.2784,6,139
149,10000,D,3700,4150,5250,True,33,0.9387,0.2582,5,139
150,10000,C,5500,5550,-1,True,43,0.5869,0.1085,3,140
151,10000,D,5050,5100,6250,True,38,0.7660,0.1745,4,143
152,10000,C,9600,9650,-1,True,51,0.4495,0.1795,4,146
153,10000,C,5200,5250,-1,True,43,0.5624,0.1539,4,148
154,10000,C,4650,4700,-1,True,38,0.7646,0.1924,4,145
155,10000,D,4150,4200,6100,True,35,0.9180,0.2431,4,135
156,10000,D,5400,5450,6600,True,43,0.5839,0.1208,5,147
157,10000,D,4250,4300,6000,True,35,0.9287,0.2460,4,133
158,10000,D,4300,4350,5700,True,35,0.9387,0.2419,6,134
159,10000,D,4100,4150,5650,True,38,0.8144,0.2694,5,135
160,10000,D,4400,4450,5850,True,36,0.8491,0.2522,6,134
161,10000,D,4650,4700,7700,True,36,0.9137,0.1851,5,137
162,10000,C,9650,9700,-1,True,47,0.5362,0.1846,4,148
163,10000,C,4800,4850,-1,True,37,0.7429,0.1692,4,146
164,10000,D,3650,3700,5200,True,41,0.6800,0.2694,4,139
165,10000,D,4250,4300,5900,True,34,0.9708,0.2507,4,137
166,10000,D,3600,3650,5000,True,41,0.6827,0.2735,6,142
167,10000,C,7000,7050,-1,True,43,0.5548,0.1469,3,146
168,10000,D,5300,5350,6550,True,41,0.6405,0.1292,5,145
169,10000,C,5100,5150,-1,True,41,0.5779,0.1521,4,149
170,10000,C,5350,5400,-1,True,42,0.5551,0.1247,3,143
171,10000,D,5350,5400,6900,True,43,0.5564,0.1193,4,146
172,10000,C,4900,4950,-1,True,33,0.9048,0.1649,3,146
173,10000,D,5250,5300,7050,True,46,0.5555,0.1396,4,142
174,10000,D,4750,4800,6200,True,34,0.8915,0.1751,5,143
175,10000,D,4300,4350,5850,True,37,0.8598,0.2291,6,135
176,10000,C,5500,5550,-1,True,42,0.5631,0.1146,3,147
177,10000,D,4550,4600,5750,True,34,0.9196,0.2061,5,137
178,10000,C,9250,9300,-1,True,47,0.4752,0.1575,4,149
179,10000,C,5150,5200,-1,True,47,0.4793,0.1535,3,149
180,10000,D,4200,4250,7500,True,38,0.8229,0.2348,6,136
181,10000,D,3650,3700,5400,True,44,0.5873,0.2442,5,139
182,10000,D,4350,4400,5850,True,34,0.9822,0.2573,4,137
183,10000,D,4450,4500,5850,True,34,0.9801,0.2570,4,135
184,10000,C,4600,4650,-1,True,35,0.8852,0.1687,3,142
185,10000,C,9550,9600,-1,True,45,0.5738,0.1910,4,148
186,10000,D,3750,3800,5100,True,33,0.9200,0.2711,5,141
187,10000,C,9350,9400,-1,True,40,0.6415,0.1659,3,145
188,10000,D,3550,3850,4600,True,34,0.9389,0.2767,5,134
189,10000,D,4250,4300,5650,True,37,0.8115,0.2547,6,137
190,10000,C,4700,4750,-1,True,36,0.8223,0.1728,3,146
191,10000,D,8900,8950,9850,True,38,0.7652,0.1812,5,144
192,10000,C,5050,5100,-1,True,41,0.5592,0.1256,3,144
193,10000,D,4350,4400,5750,True,35,0.8437,0.2035,5,134
194,10000,C,9550,9600,-1,True,44,0.7047,0.2104,3,137
195,10000,C,7750,7800,-1,True,51,0.4497,0.1749,4,149
196,10000,D,3900,3950,6000,True,37,0.8504,0.2498,5,135
197,10000,C,5450,5500,-1,True,45,0.5813,0.1313,3,139
198,10000,C,5800,5850,-1,True,39,0.7736,0.1066,3,135
199,10000,D,4300,4350,9700,True,37,0.7752,0.2353,4,136
