seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,8400,8450,-1,True,36,0.9470,0.0687,3,361
1,D,9200,9250,39550,True,36,0.9535,0.0678,4,361
2,C,9250,9300,-1,True,35,0.9939,0.0699,3,363
3,D,7450,7500,9050,True,39,0.8187,0.0775,6,354
4,D,8450,8500,11300,True,37,0.9107,0.0618,4,358
5,D,7100,14350,16000,True,39,0.7876,0.0897,8,345
6,D,8550,8600,11200,True,40,0.7793,0.0723,4,362
7,D,8650,8700,11250,True,37,0.9084,0.0698,6,360
8,D,7000,7050,8850,True,38,0.8134,0.0758,5,370
9,D,8050,8100,10050,True,42,0.6954,0.0747,4,366
10,D,7350,7400,10100,True,39,0.7612,0.0758,4,369
11,D,7000,7050,8950,True,36,0.9414,0.0768,6,364
12,C,12350,12400,-1,True,36,0.9444,0.0734,3,366
13,D,8450,8500,13550,True,37,0.9137,0.0713,4,360
14,D,7700,7750,10000,True,38,0.8078,0.0789,6,371
15,B,6750,-1,-1,True,24,0.0000,0.0977,5,309
16,D,7350,7400,10400,True,38,0.8529,0.0721,4,368
17,D,7400,7450,10300,True,37,0.8568,0.0776,7,364
18,D,7100,7150,9750,True,38,0.8007,0.0749,4,367
19,D,8600,8650,10500,True,37,0.9074,0.0727,5,360
20,D,6800,6850,9250,True,36,0.8882,0.0762,6,369
21,D,7050,7250,9150,True,38,0.8590,0.0781,5,351
22,D,7050,7100,10550,True,38,0.8367,0.0808,4,362
23,D,9450,9500,13750,True,35,0.9891,0.0654,5,361
24,D,7750,7800,10250,True,39,0.7876,0.0782,6,364
25,D,8800,8850,11050,True,37,0.9045,0.0699,5,361
26,D,7000,7200,8750,True,35,0.9756,0.0791,6,355
27,D,7400,7450,9100,True,38,0.8094,0.0768,5,370
28,C,9300,9350,-1,True,34,0.9887,0.0699,3,363
29,D,8050,8100,12050,True,38,0.8457,0.0690,4,360
30,D,7850,7900,9750,True,37,0.8439,0.0838,6,368
31,D,7400,7450,10350,True,37,0.7884,0.0804,4,372
32,D,8450,8500,15650,True,40,0.7485,0.0740,4,359
33,D,7250,7300,8450,True,39,0.8055,0.0779,6,352
34,C,9150,9200,-1,True,37,0.9013,0.0663,4,359
35,D,8200,8250,14200,True,37,0.8585,0.0770,5,361
36,D,8100,8150,12700,True,37,0.9164,0.0701,4,359
37,D,8150,8200,12400,True,39,0.8364,0.0737,4,356
38,D,6950,7000,9150,True,37,0.8577,0.0783,6,369
39,B,6750,-1,-1,True,22,0.0000,0.0686,8,295
40,D,7950,8000,11250,True,43,0.6516,0.0793,4,367
41,D,7450,7500,9950,True,39,0.7618,0.0825,4,368
42,D,7250,7300,10050,True,37,0.8318,0.0757,4,367
43,D,7050,7100,9600,True,34,0.9589,0.0747,4,364
44,B,7000,-1,-1,True,9,0.0000,0.0648,5,313
45,C,6650,6700,-1,True,38,0.7764,0.0777,4,374
46,D,7250,7300,10450,True,37,0.8560,0.0723,4,367
47,D,7800,7850,10050,True,39,0.7805,0.0764,4,366
48,D,6750,6800,9800,True,40,0.7604,0.0757,5,369
49,D,7150,7200,10250,True,37,0.9127,0.0733,5,363
50,D,8200,8250,10750,True,37,0.8745,0.0674,6,358
51,D,7800,7850,10750,True,38,0.7466,0.0780,5,371
52,D,7700,7750,10350,True,42,0.6925,0.0811,6,367
53,D,7200,7250,10150,True,36,0.9219,0.0740,6,367
54,D,7150,7200,9550,True,37,0.8461,0.0744,5,372
55,D,9600,9650,11350,True,36,0.9326,0.0703,4,368
56,D,8450,8500,10700,True,36,0.9428,0.0749,5,361
57,D,7550,7600,10250,True,38,0.7944,0.0799,4,365
58,D,7350,7400,9950,True,36,0.9121,0.0731,4,366
59,D,9200,9250,14750,True,35,0.9625,0.0645,4,359
60,D,6850,6900,8400,True,37,0.8698,0.0793,6,352
61,D,8650,8700,11100,True,39,0.7895,0.0730,5,357
62,D,6550,6600,9000,True,36,0.9404,0.0779,6,353
63,D,8250,8300,10600,True,39,0.8595,0.0717,5,362
64,D,7900,7950,10550,True,35,0.8365,0.0783,5,373
65,D,7700,7750,10300,True,39,0.7833,0.0748,4,369
66,D,7250,7300,10050,True,40,0.7026,0.0718,4,368
67,D,7800,7850,9850,True,36,0.8100,0.0787,5,365
68,D,7100,7150,9400,True,38,0.8402,0.0710,5,366
