seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
198,80000,D,3700,3750,5350,True,41,0.7241,0.0411,4,1214
199,80000,D,5450,5500,28100,True,39,0.7683,0.0421,4,1213
200,80000,C,4850,4900,-1,True,37,0.8495,0.0404,3,1200
201,80000,D,3700,3750,5350,True,39,0.7455,0.0401,5,1204
202,80000,D,3650,4550,7300,True,46,0.5176,0.0420,9,1204
203,80000,D,5050,5100,6300,True,41,0.7377,0.0427,4,1210
204,80000,D,3650,3700,4950,True,39,0.7808,0.0416,5,1210
205,80000,C,5150,5200,-1,True,43,0.6667,0.0405,4,1216
206,80000,D,4300,4350,7700,True,37,0.8648,0.0423,4,1218
207,80000,D,4150,4200,5800,True,40,0.7217,0.0408,4,1205
208,80000,D,3700,3750,5100,True,34,0.9403,0.0417,4,1208
209,80000,D,3850,3900,5200,True,38,0.7725,0.0420,4,1207
210,80000,D,4850,4900,6100,True,41,0.6993,0.0421,6,1216
211,80000,D,3650,3700,5600,True,42,0.6993,0.0424,4,1211
212,80000,C,5000,5050,-1,True,44,0.5997,0.0428,4,1216
213,80000,C,4600,4650,-1,True,39,0.7564,0.0418,3,1202
214,80000,C,5400,5450,-1,True,43,0.6599,0.0395,4,1213
215,80000,D,4450,4500,6300,True,41,0.7035,0.0409,4,1208
216,80000,D,3800,3850,5200,True,42,0.6603,0.0409,4,1217
217,80000,D,3650,3700,5000,True,39,0.7062,0.0439,5,1204
218,80000,D,4900,4950,8400,True,39,0.7041,0.0401,4,1204
219,80000,D,3600,4300,4850,True,37,0.7728,0.0392,8,1192
220,80000,D,4350,4400,5850,True,38,0.7918,0.0438,5,1202
221,80000,D,4900,4950,58800,True,36,0.9115,0.0427,4,1209
222,80000,D,4350,4400,8000,True,41,0.6617,0.0387,5,1203
223,80000,C,4650,4700,-1,True,36,0.8634,0.0444,3,1215
224,80000,C,4650,4700,-1,True,39,0.7676,0.0413,4,1211
225,80000,D,4200,4250,5500,True,41,0.6944,0.0417,6,1203
