seed,max_ticks,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
490,80000,D,3800,3950,5200,True,39,0.7299,0.0421,10,1189
491,80000,D,5550,5600,8750,True,38,0.7662,0.0402,4,1203
492,80000,C,5050,5100,-1,True,39,0.7808,0.0406,4,1204
493,80000,D,4450,4500,5650,True,37,0.7995,0.0399,5,1202
494,80000,D,4750,4800,6000,True,39,0.7610,0.0409,5,1199
495,80000,D,4500,4550,5850,True,38,0.7738,0.0423,5,1204
496,80000,D,4800,4850,8550,True,36,0.8523,0.0407,4,1200
497,80000,D,4400,4450,5650,True,39,0.7334,0.0431,7,1201
498,80000,D,4200,4250,6750,True,37,0.7277,0.0409,4,1208
499,80000,D,4450,4500,5700,True,37,0.8051,0.0393,4,1198
